Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Arg-1,53,63,98,0,3,13,1,0,17,278,20,49%,4,0
Arg-2,24,19,50,3,2,12,0,0,12,122,7,71%,1,0
Arg-3,4,10,4,1,3,4,0,0,7,127,3,60%,0,0
Arg-4,24,67,58,8,4,10,0,0,26,382,14,63%,5,0
Arg-5,8,12,181,1,0,3,0,0,6,23,15,56.00000000000001%,1,0
Arg-6,18,14,240,0,0,3,0,0,5,42,24,85%,3,0
Arg-7,13,29,142,3,0,8,0,0,14,85,27,67%,3,0
Arg-8,6,19,15,4,0,3,0,0,14,87,12,50%,3,0
Arg-9,1,15,19,1,2,3,0,0,7,71,17,91%,0,0
Arg-10,2,27,20,3,1,5,0,0,15,133,30,64%,2,0
Arg-11,11,40,17,2,2,4,0,0,20,142,32,79%,4,0
Arg-12,0,59,15,1,0,3,0,0,32,91,92,83%,5,0
Arg-13,0,28,40,1,1,2,0,0,6,48,40,85%,3,0
Arg-14,0,18,7,0,0,2,0,0,5,14,25,86%,2,0
Arg-15,0,9,3,0,0,5,0,0,7,48,6,86%,0,0
Arg-16,7,51,23,2,7,12,0,0,27,280,15,54%,6,0
Arg-17,2,45,4,1,8,33,0,0,28,339,33,89%,7,0
Arg-18,0,8,3,1,2,4,1,0,6,71,5,71%,0,0
Arg-19,0,4,0,0,0,0,0,0,2,12,3,100%,1,0
Arg-20,0,42,17,1,1,7,0,0,24,61,59,88%,0,0
Arg-21,0,16,8,0,1,4,0,0,10,37,11,54%,1,0
Arg-22,0,51,25,2,3,13,0,0,28,202,29,73%,3,0
Arg-23,0,1,0,0,0,0,0,0,1,1,5,83%,0,0
Arg-24,0,38,33,3,4,15,0,0,25,195,58,83%,6,0
Arg-25,0,21,12,1,0,3,0,0,12,53,18,91%,0,0
Arg-26,1,34,5,0,0,0,0,0,17,50,23,93%,1,0
Arg-27,0,23,8,0,0,0,0,0,8,24,29,77%,4,0
Arg-28,0,56,12,2,0,25,0,0,28,106,48,82%,2,0
Arg-29,0,18,1,0,0,0,0,0,10,26,8,45%,2,0
Arg-30,0,1,0,0,0,0,0,0,1,3,1,50%,0,0
Arg-31,0,20,2,1,0,0,0,0,8,28,28,93%,2,0
Arg-32,0,32,7,0,0,2,0,0,18,46,29,73%,1,0
