Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Aus-1,21,20,26,0,0,4,0,0,6,96,9,41%,2,0
Aus-2,7,17,8,1,1,4,0,0,6,89,7,62%,1,0
Aus-3,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Aus-4,15,6,88,1,0,1,0,0,3,21,4,36%,0,0
Aus-5,17,15,137,4,0,1,0,0,8,36,12,63%,2,0
Aus-6,5,6,33,1,0,1,0,0,3,15,3,67%,0,0
Aus-7,2,9,6,0,1,1,0,0,5,65,8,46%,0,0
Aus-8,0,5,0,0,1,2,0,0,5,86,8,73%,0,0
Aus-9,0,32,15,3,2,6,1,0,21,132,14,49%,3,0
Aus-10,24,19,52,3,3,4,0,0,10,152,15,62%,2,0
Aus-11,11,39,18,6,3,11,0,0,21,287,9,55.00000000000001%,8,0
Aus-12,5,16,6,1,0,4,0,0,15,80,11,54%,0,0
Aus-13,7,29,10,1,1,6,0,0,14,168,18,50%,2,0
Aus-14,2,17,1,0,2,2,0,0,12,95,7,45%,1,0
Aus-15,0,1,0,0,0,0,1,0,0,0,13,88%,0,0
Aus-16,0,7,5,0,0,0,0,0,6,6,26,78%,0,0
Aus-17,0,2,0,0,0,0,0,0,2,9,1,100%,0,0
Aus-18,0,41,11,2,1,5,0,0,23,167,36,86%,1,0
Aus-19,0,2,1,0,0,0,0,0,1,2,0,0%,0,0
Aus-20,0,23,7,0,0,3,0,0,11,87,48,80%,1,0
Aus-21,0,1,0,0,0,0,0,0,0,0,1,100%,1,0
Aus-22,0,11,5,0,1,1,0,0,6,43,20,63%,0,0
Aus-23,0,20,10,2,2,5,0,0,17,84,38,92%,3,0
Aus-24,0,19,21,2,0,3,0,0,9,50,16,74%,3,0
Aus-25,0,0,0,0,0,0,0,0,0,0,3,50%,0,0
Aus-26,0,13,11,1,2,1,0,0,7,22,29,71%,0,0
Aus-27,0,10,5,0,0,1,0,0,5,14,4,56.99999999999999%,0,0
Aus-28,0,5,0,0,0,1,0,0,2,4,9,82%,1,0
Aus-29,0,8,4,0,1,0,0,0,4,20,3,75%,0,0
Aus-30,0,1,1,1,0,0,0,0,0,2,15,65%,0,0
Aus-31,0,2,1,0,0,0,0,0,2,4,2,50%,1,0
Aus-32,0,15,3,1,0,1,0,0,6,11,14,82%,0,0
Aus-33,0,32,4,1,0,9,0,0,17,72,28,89%,1,0
