Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Chi-1,2,1,4,0,0,0,0,0,0,0,3,50%,0,0
Chi-2,22,26,137,1,1,4,0,0,16,81,7,43%,3,0
Chi-3,1,1,10,0,0,0,0,0,1,3,0,0%,0,0
Chi-4,3,17,18,2,2,8,0,0,8,99,40,75%,1,0
Chi-5,0,7,4,1,0,1,0,0,4,42,16,68%,0,0
Chi-6,0,23,13,1,1,3,0,0,10,85,35,67%,2,0
Chi-7,19,29,46,4,1,11,0,0,8,192,9,43%,4,0
Chi-8,2,5,8,0,0,1,0,0,2,30,5,45%,2,0
Chi-9,6,9,59,2,0,2,0,0,4,22,9,32%,0,0
Chi-10,6,33,36,4,2,17,0,0,11,212,13,40%,5,0
Chi-11,0,19,5,2,2,4,0,0,7,58,12,73%,0,0
Chi-12,0,1,0,0,0,0,0,0,1,4,3,75%,0,0
Chi-13,0,9,0,0,1,3,0,0,5,52,8,89%,2,0
Chi-14,0,3,1,0,0,2,0,0,2,21,13,87%,2,0
Chi-15,0,10,3,0,0,0,0,0,4,12,13,59%,1,0
Chi-16,0,9,0,0,0,2,0,0,3,16,18,55.00000000000001%,0,0
Chi-17,0,11,6,0,0,4,0,0,8,30,8,50%,1,0
Chi-18,1,26,9,0,0,4,0,0,14,59,44,82%,4,0
Chi-19,0,31,19,0,1,2,1,0,9,46,52,84%,1,0
Chi-20,0,24,11,3,0,2,1,0,10,54,16,51%,0,0
Chi-21,0,1,0,0,0,0,0,0,0,0,3,60%,0,0
Chi-22,0,12,3,0,0,5,0,0,1,6,30,90%,0,0
Chi-23,0,27,14,1,3,9,0,0,11,76,30,86%,6,0
Chi-24,0,1,0,0,0,0,0,0,0,0,5,83%,0,0
Chi-25,0,12,5,0,0,1,0,0,2,3,7,81%,1,0
Chi-26,0,9,3,0,0,0,0,0,0,0,26,81%,2,0
Chi-27,0,5,5,0,0,1,0,0,2,4,13,74%,1,0
Chi-28,0,11,3,0,1,3,0,0,3,18,23,93%,2,0
Chi-29,0,0,0,0,0,0,1,0,0,0,3,75%,0,0
Chi-30,0,2,0,0,0,0,0,0,0,0,5,100%,0,0
Chi-31,0,11,2,0,0,1,0,0,3,14,21,65%,0,0
Chi-32,0,2,0,0,0,0,0,0,1,1,3,100%,0,0
Chi-33,0,22,5,0,0,2,2,0,4,8,33,83%,2,0
