Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Eng-1,64,27,176,2,1,4,0,0,14,96,18,49%,4,0
Eng-2,16,7,80,0,0,2,0,0,3,30,8,63%,1,0
Eng-3,20,12,114,0,1,3,0,0,9,47,16,61%,1,0
Eng-4,1,25,6,3,2,14,0,0,13,177,17,56.00000000000001%,2,0
Eng-5,44,29,84,1,0,1,0,0,17,122,43,87%,1,0
Eng-6,2,8,10,1,1,0,0,0,6,66,4,67%,3,0
Eng-7,0,20,8,2,1,13,0,0,11,79,17,87%,2,0
Eng-8,5,26,15,0,0,7,0,0,17,150,30,59%,3,0
Eng-9,17,39,35,4,4,15,0,0,20,241,9,36%,0,0
Eng-10,0,24,6,0,2,7,0,0,19,134,36,79%,1,0
Eng-11,4,10,2,0,6,1,0,0,8,94,3,45%,1,0
Eng-12,15,46,18,1,3,6,0,0,14,202,5,37%,2,0
Eng-13,12,27,30,3,3,5,0,0,16,175,20,87%,3,0
Eng-14,0,7,0,0,1,1,0,0,4,28,24,92%,0,0
Eng-15,46,22,74,1,0,2,0,0,9,138,17,60%,1,0
Eng-16,0,3,1,0,0,0,0,0,2,9,5,100%,0,0
Eng-17,0,17,4,0,1,3,0,0,12,46,14,39%,0,0
Eng-18,2,20,19,0,0,1,0,0,11,47,54,88%,2,0
Eng-19,0,9,7,1,0,2,0,0,6,11,9,94%,0,0
Eng-20,0,18,1,0,1,3,0,0,8,73,24,74%,2,0
Eng-21,0,18,17,0,0,0,0,0,5,26,16,87%,2,0
Eng-22,3,64,44,0,7,24,0,0,39,337,80,83%,4,0
Eng-23,0,11,9,1,0,0,0,1,7,30,58,78%,1,0
Eng-24,0,37,22,2,2,10,0,0,11,133,30,72%,1,0
Eng-25,0,37,19,2,2,4,0,0,14,116,61,77%,5,0
Eng-26,0,17,9,0,0,1,0,0,10,64,52,72%,3,0
Eng-27,0,21,7,0,0,2,0,0,9,24,31,64%,1,0
Eng-28,0,9,2,0,0,0,0,0,1,6,24,97%,1,0
Eng-29,0,3,0,0,0,0,0,0,0,0,36,92%,0,0
Eng-30,0,5,1,0,0,1,0,0,3,7,19,90%,0,0
Eng-31,0,36,9,2,0,10,0,0,17,80,28,59%,2,0
Eng-32,0,18,10,0,0,0,0,0,7,21,20,72%,0,0
Eng-33,0,22,4,0,0,1,0,0,8,31,23,78%,0,0
