Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Fij-1,20,45,13,1,1,7,0,0,17,321,9,56.00000000000001%,3,0
Fij-2,33,13,221,2,1,2,0,0,7,88,15,53%,0,0
Fij-3,7,45,11,4,4,14,0,0,34,267,18,49%,5,0
Fij-4,17,12,172,1,0,3,0,0,5,36,15,65%,2,0
Fij-5,1,0,1,0,0,0,0,0,0,0,2,100%,0,0
Fij-6,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Fij-7,7,28,35,2,0,4,0,0,10,125,10,56.00000000000001%,5,0
Fij-8,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Fij-9,1,42,21,6,4,15,1,0,17,259,13,88%,5,0
Fij-10,0,4,2,1,0,2,0,0,2,12,3,38%,0,0
Fij-11,6,12,62,0,0,2,0,0,4,23,6,71%,1,0
Fij-12,3,21,3,1,3,15,0,0,10,213,10,38%,2,0
Fij-13,4,55,34,3,2,14,1,0,29,175,31,68%,4,0
Fij-14,0,4,2,0,0,2,0,0,3,36,4,100%,1,0
Fij-15,2,28,5,1,4,13,1,0,19,229,14,47%,7,0
Fij-16,5,21,9,1,1,4,0,0,12,132,10,56.00000000000001%,0,0
Fij-17,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Fij-18,0,25,8,1,2,5,0,0,15,74,17,73%,1,0
Fij-19,0,26,23,4,0,2,0,0,10,18,26,71%,0,0
Fij-20,0,53,23,2,1,4,0,0,22,181,32,81%,3,0
Fij-21,0,2,0,0,0,1,0,0,0,0,0,0%,0,0
Fij-22,3,36,29,5,1,7,1,0,18,74,43,84%,3,0
Fij-23,0,28,15,4,0,5,1,0,15,84,26,71%,3,0
Fij-24,1,9,11,0,0,2,0,0,3,12,8,68%,0,0
Fij-25,0,21,7,0,0,2,0,0,13,36,30,82%,2,0
Fij-26,0,14,2,0,0,0,0,0,7,23,10,68%,2,0
Fij-27,1,31,28,1,1,1,0,0,14,58,40,73%,5,0
Fij-28,0,23,6,0,1,1,0,0,8,35,26,71%,1,0
Fij-29,0,18,4,1,0,0,0,0,8,25,29,76%,4,0
Fij-30,0,12,2,0,0,0,0,0,7,17,11,75%,1,0
Fij-31,0,30,12,2,1,8,0,0,16,62,25,63%,3,0
Fij-32,0,3,1,0,0,0,0,0,1,1,1,50%,0,0
Fij-33,1,29,6,1,1,5,0,0,16,65,15,71%,0,0
