Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Fra-1,6,8,15,0,0,1,0,0,3,27,8,80%,0,0
Fra-2,33,40,69,3,4,13,0,0,17,169,17,75%,3,0
Fra-3,9,22,9,0,3,4,0,0,9,135,4,63%,1,0
Fra-4,32,44,47,1,3,5,0,0,14,203,7,52%,2,0
Fra-5,31,44,144,10,2,11,0,0,13,113,16,89%,1,0
Fra-6,2,10,50,0,2,2,0,0,7,100,10,87%,2,0
Fra-7,13,6,75,0,1,2,0,0,5,33,10,87%,0,0
Fra-8,0,27,24,1,3,8,0,0,18,166,30,83%,1,0
Fra-9,1,12,10,0,0,0,0,0,7,40,7,88%,0,0
Fra-10,0,26,7,0,0,6,0,0,14,51,17,100%,1,0
Fra-11,8,43,23,5,13,22,0,0,31,350,19,61%,5,0
Fra-12,0,19,10,1,1,2,0,0,12,63,26,66%,1,0
Fra-13,5,22,8,0,10,7,0,0,16,212,17,81%,2,0
Fra-14,1,16,4,2,1,2,0,0,10,90,9,75%,2,0
Fra-15,1,33,23,3,5,9,0,0,25,226,32,76%,3,0
Fra-16,0,1,0,0,0,0,0,0,0,0,0,0%,1,0
Fra-17,1,14,9,1,0,0,0,0,5,24,12,77%,1,0
Fra-18,1,47,18,5,1,7,0,0,28,185,37,91%,1,0
Fra-19,0,14,4,0,0,0,0,0,4,28,47,87%,1,0
Fra-20,0,14,7,2,0,1,0,0,8,112,11,81%,1,0
Fra-21,0,7,1,0,0,0,0,0,2,10,16,86%,0,0
Fra-22,0,26,20,6,1,2,0,0,14,57,26,84%,2,0
Fra-23,0,32,17,3,2,5,0,0,19,186,47,92%,2,0
Fra-24,0,1,0,0,0,0,0,0,0,0,6,100%,0,0
Fra-25,0,20,23,2,0,2,0,0,10,34,25,86%,3,0
Fra-26,0,20,8,1,0,2,1,0,5,14,12,67%,0,0
Fra-27,0,15,14,5,1,2,0,0,8,42,39,91%,1,0
Fra-28,0,5,1,0,0,0,0,0,1,4,6,43%,0,0
Fra-29,0,1,4,1,0,0,0,0,1,2,18,84%,0,0
Fra-30,0,1,1,1,0,0,0,0,0,0,1,50%,0,0
Fra-31,0,13,3,0,0,2,0,0,9,26,8,61%,0,0
Fra-32,0,11,12,0,1,0,0,0,5,7,12,93%,1,0
Fra-33,1,16,8,0,1,9,0,0,8,37,24,82%,3,0
