Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Geo-1,6,8,30,0,0,1,0,0,5,31,11,100%,0,0
Geo-2,18,27,53,6,1,12,0,0,9,215,38,88%,1,0
Geo-3,34,52,39,7,8,22,1,0,24,425,11,48%,4,0
Geo-4,6,11,2,0,0,1,0,0,4,74,0,0%,1,0
Geo-5,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Geo-6,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Geo-7,32,20,140,0,1,6,0,0,10,62,18,70%,1,0
Geo-8,13,12,96,2,2,2,0,0,7,62,18,87%,3,0
Geo-9,2,26,17,1,0,1,0,0,13,40,26,82%,1,0
Geo-10,0,9,5,1,0,1,0,0,6,69,17,28.999999999999996%,2,0
Geo-11,0,2,2,0,1,1,0,0,1,24,2,100%,1,0
Geo-12,1,19,27,5,0,4,0,0,14,101,25,70%,3,0
Geo-13,3,22,15,3,5,6,0,0,14,186,21,64%,3,0
Geo-14,1,3,3,0,0,2,0,0,1,38,3,75%,0,0
Geo-15,0,12,4,0,1,0,0,0,5,21,22,64%,0,0
Geo-16,0,4,2,0,0,0,0,0,2,7,3,75%,0,0
Geo-17,0,2,4,0,0,0,0,0,1,6,12,80%,1,0
Geo-18,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Geo-19,0,43,13,1,1,7,0,0,22,151,62,94%,4,0
Geo-20,0,26,9,0,0,2,0,0,18,58,34,78%,0,0
Geo-21,0,6,5,0,0,1,0,0,4,22,13,78%,0,0
Geo-22,0,1,1,0,0,0,0,0,0,0,4,83%,0,0
Geo-23,0,12,6,2,0,3,0,0,7,47,38,83%,2,0
Geo-24,0,16,0,0,0,1,0,0,8,26,35,91%,1,0
Geo-25,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Geo-26,0,6,5,1,0,0,0,0,3,14,5,36%,0,0
Geo-27,0,9,6,0,0,2,0,0,5,13,40,93%,0,0
Geo-28,0,7,1,0,0,0,0,0,4,3,11,85%,0,0
Geo-29,0,2,0,0,0,0,0,0,0,0,6,100%,0,0
Geo-30,0,20,8,0,0,2,0,0,11,26,25,78%,0,0
Geo-31,0,5,0,0,0,1,0,0,1,7,16,96%,0,0
Geo-32,0,12,0,0,0,0,0,0,7,29,18,84%,1,0
Geo-33,0,7,1,0,0,0,0,0,3,8,13,95%,0,0
