Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Ire-1,5,3,13,0,0,0,0,0,1,1,0,0%,0,0
Ire-2,11,15,156,1,0,6,0,0,7,63,35,83%,0,0
Ire-3,12,6,34,1,0,2,0,0,2,19,6,56.99999999999999%,0,0
Ire-4,20,59,53,3,5,15,0,0,25,418,16,55.00000000000001%,4,0
Ire-5,1,5,25,0,0,0,0,0,2,10,1,100%,0,0
Ire-6,11,14,196,4,1,2,0,0,10,43,18,93%,1,0
Ire-7,17,22,210,1,1,2,0,0,11,115,13,56.99999999999999%,4,0
Ire-8,0,81,35,5,10,30,0,0,44,447,28,79%,2,0
Ire-9,2,47,46,2,7,7,0,0,32,291,17,54%,4,0
Ire-10,1,2,5,0,0,0,0,0,1,9,12,92%,0,0
Ire-11,1,4,3,0,0,1,0,0,1,11,5,75%,0,0
Ire-12,0,9,0,0,1,2,0,0,6,68,2,67%,0,0
Ire-13,0,4,4,1,0,3,0,0,4,22,2,50%,2,0
Ire-14,5,32,22,5,6,17,0,0,22,181,6,27%,1,0
Ire-15,25,43,35,6,2,8,0,0,30,306,16,69%,1,0
Ire-16,0,29,12,1,0,4,0,0,18,61,25,81%,1,0
Ire-17,0,15,6,1,1,2,0,0,11,43,22,87%,1,0
Ire-18,0,8,7,1,0,2,0,0,7,40,8,100%,1,0
Ire-19,0,13,4,1,0,3,0,0,11,64,8,100%,0,0
Ire-20,0,44,25,0,1,10,0,0,18,182,61,80%,5,0
Ire-21,0,2,2,0,0,0,0,0,2,7,4,67%,1,0
Ire-22,0,32,37,2,2,5,0,0,24,147,55,77%,0,0
Ire-23,0,26,44,4,2,5,1,0,12,42,47,91%,2,0
Ire-24,1,41,26,1,2,2,0,0,23,143,56,90%,3,0
Ire-25,0,20,21,0,0,1,0,0,13,48,35,87%,0,0
Ire-26,0,23,11,3,2,5,0,0,10,38,8,68%,1,0
Ire-27,0,15,16,1,0,0,0,0,7,18,24,92%,4,0
Ire-28,0,20,5,0,0,0,0,0,9,29,33,87%,1,0
Ire-29,1,11,5,0,0,2,0,0,5,11,11,88%,1,0
Ire-30,0,7,2,2,1,1,0,0,6,32,2,100%,1,0
Ire-31,0,4,3,1,0,2,0,0,4,15,3,100%,0,0
Ire-32,0,25,11,0,0,2,0,0,10,47,34,79%,0,0
Ire-33,0,7,3,0,0,0,0,0,2,4,21,97%,0,0
