Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Ita-1,20,30,77,3,1,1,0,0,16,243,19,65%,2,0
Ita-2,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Ita-3,18,43,94,1,3,8,0,0,25,291,31,77%,0,0
Ita-4,9,35,23,2,4,12,0,0,15,275,9,43%,4,0
Ita-5,5,5,110,0,0,0,0,0,1,14,8,54%,1,0
Ita-6,1,0,58,0,0,0,0,0,0,0,3,60%,2,0
Ita-7,3,11,47,2,0,3,0,0,4,20,2,25%,1,0
Ita-8,0,8,1,1,4,7,0,0,7,125,3,83%,1,0
Ita-9,4,33,51,2,4,8,0,0,23,139,23,75%,1,0
Ita-10,0,18,15,1,1,3,0,0,14,70,20,84%,1,0
Ita-11,2,11,2,0,0,3,0,0,8,69,2,75%,0,0
Ita-12,2,7,45,1,1,2,0,0,3,23,3,70%,0,0
Ita-13,3,13,3,2,1,4,0,0,6,48,5,61%,1,0
Ita-14,3,48,38,8,5,10,0,0,27,372,10,45%,4,0
Ita-15,0,17,14,0,0,0,0,0,7,13,20,78%,1,0
Ita-16,0,10,3,0,0,0,0,0,5,9,33,85%,1,0
Ita-17,0,2,0,0,0,0,0,0,2,4,7,88%,0,0
Ita-18,0,25,5,0,1,8,0,0,19,123,48,88%,2,0
Ita-19,0,0,0,0,0,0,0,0,0,0,3,75%,0,0
Ita-20,0,3,1,0,0,0,0,0,2,6,1,50%,0,0
Ita-21,0,16,28,2,0,1,0,0,9,47,52,77%,2,0
Ita-22,0,12,6,0,1,6,0,0,7,101,15,83%,4,0
Ita-23,0,33,2,0,0,2,0,0,22,78,54,94%,3,0
Ita-24,0,10,23,1,1,2,0,0,3,37,41,95%,0,0
Ita-25,0,5,4,1,0,0,0,0,2,5,5,71%,0,0
Ita-26,0,14,2,0,0,1,1,0,5,27,19,87%,0,0
Ita-27,0,13,15,0,0,0,0,0,7,13,16,78%,2,0
Ita-28,0,2,1,0,0,1,0,0,1,2,6,92%,1,0
Ita-29,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Ita-30,0,9,1,0,0,0,0,0,5,6,22,97%,0,0
Ita-31,0,8,4,0,0,1,0,0,3,7,13,83%,0,0
Ita-32,0,6,0,0,0,0,0,0,1,3,11,86%,0,0
Ita-33,0,9,6,0,0,0,0,0,2,4,27,73%,1,0
