Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Jpn-1,23,13,56,0,1,1,0,0,11,62,29,68%,0,0
Jpn-2,1,0,0,0,0,0,0,0,0,0,1,50%,0,0
Jpn-3,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Jpn-4,1,3,1,0,0,1,0,0,1,3,0,0%,0,0
Jpn-5,6,31,15,1,3,14,0,0,18,284,16,54%,2,0
Jpn-6,18,12,153,0,0,0,0,0,7,17,16,56.00000000000001%,1,0
Jpn-7,22,4,90,0,0,0,0,0,2,9,7,78%,0,0
Jpn-8,1,0,1,0,0,0,0,0,0,0,1,33%,0,0
Jpn-9,2,22,15,4,1,4,1,0,16,171,20,57.99999999999999%,4,0
Jpn-10,0,8,3,1,1,3,0,0,5,37,6,65%,3,0
Jpn-11,0,13,27,1,2,5,0,0,8,42,28,69%,1,0
Jpn-12,21,28,10,0,3,11,0,0,18,248,9,44%,2,0
Jpn-13,0,12,9,1,2,6,0,0,6,71,6,60%,0,0
Jpn-14,2,25,8,2,2,5,0,0,15,135,12,69%,1,0
Jpn-15,0,12,11,1,0,1,1,0,4,13,47,89%,2,0
Jpn-16,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Jpn-17,0,4,9,0,0,0,0,0,1,3,23,75%,1,0
Jpn-18,0,35,11,2,0,8,0,0,20,72,49,91%,3,0
Jpn-19,0,13,6,1,0,4,1,0,11,40,51,89%,0,0
Jpn-20,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Jpn-21,1,27,22,1,3,5,0,0,18,97,59,89%,0,0
Jpn-22,0,2,0,0,0,0,0,0,0,6,1,100%,0,0
Jpn-23,0,1,1,0,0,0,0,0,0,0,20,80%,1,0
Jpn-24,0,14,19,0,1,0,0,0,9,41,57,93%,2,0
Jpn-25,2,22,6,0,3,6,0,0,9,77,47,82%,2,0
Jpn-26,0,5,2,0,0,2,0,0,3,13,14,97%,0,0
Jpn-27,0,6,3,2,0,2,0,0,5,8,18,77%,1,0
Jpn-28,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Jpn-29,0,9,4,0,0,1,0,0,3,5,48,92%,1,0
Jpn-30,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Jpn-31,0,14,8,1,0,0,0,0,3,13,22,82%,1,0
Jpn-32,0,8,4,1,0,1,0,0,2,9,29,85%,1,0
Jpn-33,0,8,1,0,0,0,0,0,4,8,28,89%,0,0
