Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Nam-1,11,26,29,2,1,5,0,0,6,98,8,32%,3,0
Nam-2,2,11,6,0,0,4,0,0,1,100,1,11%,1,0
Nam-3,32,32,50,1,1,3,0,0,12,153,18,45%,1,0
Nam-4,7,20,2,0,1,2,0,0,11,183,8,34%,0,0
Nam-5,3,9,89,1,0,1,0,0,6,15,7,65%,0,0
Nam-6,0,1,7,0,0,1,0,0,1,10,1,25%,0,0
Nam-7,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Nam-8,13,4,156,0,0,0,0,0,1,3,10,49%,3,0
Nam-9,0,5,5,0,1,1,0,0,3,36,8,85%,0,0
Nam-10,3,18,6,3,0,1,0,1,9,50,22,73%,1,0
Nam-11,1,21,10,0,0,1,0,0,11,56,15,48%,0,0
Nam-12,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Nam-13,1,18,4,1,4,7,0,0,10,149,14,45%,0,0
Nam-14,2,12,5,0,2,4,0,0,9,114,26,61%,2,0
Nam-15,0,0,0,0,0,0,0,0,0,0,1,100%,0,0
Nam-16,0,14,4,0,0,0,1,0,6,19,12,56.99999999999999%,0,0
Nam-17,0,19,2,1,0,3,0,0,13,48,25,81%,1,0
Nam-18,0,6,0,0,0,2,0,0,5,19,5,100%,0,0
Nam-19,0,29,8,0,0,7,0,0,10,59,35,81%,2,0
Nam-20,0,4,3,0,0,0,0,0,0,0,12,86%,1,0
Nam-21,0,13,7,0,0,1,0,0,10,38,17,70%,2,0
Nam-22,0,8,2,0,0,0,0,0,5,17,16,62%,3,0
Nam-23,0,13,1,0,0,1,0,0,4,8,38,79%,2,0
Nam-24,0,10,9,0,0,0,0,0,0,3,14,84%,0,0
Nam-25,0,6,10,0,0,0,1,0,3,9,14,63%,1,0
Nam-26,0,24,3,0,0,4,0,0,13,32,17,83%,2,0
Nam-27,0,2,1,0,0,0,0,0,0,0,4,80%,0,0
Nam-28,0,13,2,0,0,0,0,0,6,12,9,79%,1,0
Nam-29,0,2,2,0,0,1,1,0,0,0,12,54%,0,0
Nam-30,0,2,1,0,0,1,0,0,1,1,2,40%,1,0
Nam-31,0,12,1,0,0,0,1,0,4,6,13,63%,0,0
Nam-32,0,5,0,0,0,0,0,1,1,11,13,73%,2,0
Nam-33,0,4,0,0,0,0,0,0,2,8,4,83%,0,0
