Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Nzl-1,49,50,129,5,3,21,0,0,26,352,28,64%,5,0
Nzl-2,60,72,66,2,5,13,0,0,38,494,16,44%,5,0
Nzl-3,0,49,22,4,4,15,0,0,32,324,38,69%,3,0
Nzl-4,11,59,59,2,2,14,0,0,30,178,50,79%,2,0
Nzl-5,6,25,31,3,3,7,0,0,21,190,23,67%,2,0
Nzl-6,16,40,69,5,6,19,0,0,21,294,8,50%,3,0
Nzl-7,6,5,107,0,1,1,0,0,4,24,9,92%,1,0
Nzl-8,28,18,326,0,3,9,1,0,15,112,19,83%,0,0
Nzl-9,5,19,127,0,5,17,0,0,13,118,12,69%,3,0
Nzl-10,5,12,14,1,4,5,0,0,8,87,4,75%,0,0
Nzl-11,18,54,43,6,12,8,1,0,40,494,45,77%,4,0
Nzl-12,2,18,8,0,6,4,0,0,14,160,6,92%,0,0
Nzl-13,3,45,13,5,6,20,0,0,31,309,17,62%,3,0
Nzl-14,2,56,12,3,8,40,0,0,41,392,25,74%,2,0
Nzl-15,0,31,14,1,2,5,1,0,19,78,54,93%,2,0
Nzl-16,0,30,13,3,0,6,0,0,17,43,14,73%,2,0
Nzl-17,0,8,4,0,3,2,0,0,6,26,13,93%,1,0
Nzl-18,3,82,62,9,5,27,0,0,55,297,56,78%,3,0
Nzl-19,0,4,1,1,0,0,0,0,3,14,2,67%,1,0
Nzl-20,0,14,10,0,3,3,0,0,7,75,36,74%,1,0
Nzl-21,0,16,18,2,3,1,0,0,14,95,17,88%,1,0
Nzl-22,0,42,28,3,3,7,1,0,20,78,40,74%,2,0
Nzl-23,1,29,17,0,0,2,0,1,13,51,55,88%,3,0
Nzl-24,0,18,27,1,0,3,0,0,9,25,46,93%,1,0
Nzl-25,0,32,36,1,0,1,0,0,11,31,31,66%,0,0
Nzl-26,0,39,30,1,1,7,1,0,19,71,53,61%,1,0
Nzl-27,0,18,12,0,0,2,0,0,8,42,17,77%,2,0
Nzl-28,0,21,5,0,0,0,0,0,10,19,34,77%,1,0
Nzl-29,0,14,5,0,0,0,0,0,4,11,12,78%,1,0
Nzl-30,0,13,11,0,0,1,0,0,6,13,17,85%,1,0
Nzl-31,0,19,5,0,0,0,0,1,4,15,35,69%,1,0
Nzl-32,0,12,5,0,0,3,0,0,8,23,21,87%,0,0
Nzl-33,0,11,5,0,0,3,0,0,6,24,11,65%,1,0
