Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Por-1,21,33,96,3,2,3,0,0,10,145,18,51%,2,0
Por-2,0,5,6,0,0,0,0,0,2,6,1,25%,2,0
Por-3,7,18,9,2,2,4,0,0,7,166,6,90%,2,0
Por-4,18,38,29,3,3,13,0,0,17,289,2,42%,2,0
Por-5,0,0,10,0,0,0,0,0,0,0,5,42%,0,0
Por-6,3,0,20,0,0,0,0,0,0,0,4,100%,0,0
Por-7,45,24,240,3,1,1,0,0,12,55,15,59%,2,0
Por-8,3,28,18,3,3,3,1,0,13,108,28,67%,3,0
Por-9,3,11,17,2,0,1,0,0,3,18,19,75%,1,0
Por-10,1,23,42,0,1,4,0,0,12,84,36,79%,2,0
Por-11,4,33,12,2,8,23,0,0,18,244,18,54%,2,0
Por-12,6,37,17,0,5,19,0,0,23,320,26,67%,1,0
Por-13,0,9,6,0,0,0,0,1,5,69,6,34%,1,0
Por-14,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Por-15,1,19,12,4,0,0,0,0,12,38,33,73%,4,0
Por-16,0,3,0,0,0,0,0,0,3,4,1,50%,0,0
Por-17,0,2,1,0,0,0,0,0,2,4,4,88%,0,0
Por-18,0,17,1,1,0,2,0,0,8,28,13,75%,2,0
Por-19,0,13,5,0,1,2,0,0,4,32,20,94%,0,0
Por-20,2,29,16,5,1,0,0,0,16,60,35,88%,1,0
Por-21,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Por-22,1,12,3,1,0,0,0,0,6,22,43,83%,0,0
Por-23,0,28,29,5,4,6,0,0,22,196,63,88%,8,0
Por-24,0,1,0,0,0,0,0,0,1,3,0,0%,0,0
Por-25,1,4,4,0,0,0,0,0,0,0,21,79%,1,0
Por-26,0,18,21,2,0,1,0,0,8,18,36,80%,3,0
Por-27,0,26,10,0,0,3,0,0,8,26,51,84%,0,0
Por-28,0,11,7,1,0,3,1,0,4,9,31,71%,0,0
Por-29,0,9,8,0,0,0,0,0,1,3,20,62%,0,0
Por-30,1,5,0,0,0,0,0,0,0,0,11,95%,0,0
Por-31,0,1,0,0,0,0,0,0,0,0,2,100%,0,0
Por-32,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Por-33,0,16,1,0,0,0,0,0,4,11,24,72%,0,0
