Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Rou-1,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Rou-2,8,0,7,0,0,0,0,0,0,0,4,84%,1,0
Rou-3,33,40,3,0,3,8,2,0,18,214,18,40%,3,0
Rou-4,9,9,41,0,0,1,1,0,2,17,23,66%,1,0
Rou-5,0,7,76,1,0,1,0,0,2,26,8,82%,0,0
Rou-6,14,6,118,0,1,1,0,0,3,58,17,60%,2,0
Rou-7,1,9,2,0,0,3,0,0,6,26,9,44%,0,0
Rou-8,0,2,0,0,0,0,0,0,2,3,6,67%,0,0
Rou-9,0,13,3,0,0,6,0,0,5,31,26,60%,0,0
Rou-10,2,1,4,0,0,0,0,0,0,0,4,44%,0,0
Rou-11,6,16,7,0,2,3,0,0,9,110,16,52%,2,0
Rou-12,1,1,3,0,0,0,0,0,1,2,4,67%,0,0
Rou-13,1,15,6,0,0,2,0,0,8,27,28,70%,1,0
Rou-14,0,10,5,1,1,2,0,0,5,58,9,59%,1,0
Rou-15,0,7,2,0,0,0,0,0,5,10,9,55.00000000000001%,1,0
Rou-16,0,9,3,0,0,1,0,0,4,24,12,48%,0,0
Rou-17,0,4,1,0,0,0,1,0,0,0,19,61%,0,0
Rou-18,0,10,2,0,0,1,0,0,7,30,12,63%,0,0
Rou-19,0,14,1,0,0,0,0,0,7,47,10,50%,0,0
Rou-20,0,25,6,0,1,2,0,0,14,104,35,72%,1,0
Rou-21,2,20,7,1,0,2,1,0,9,37,24,72%,1,0
Rou-22,0,10,2,0,0,1,0,0,4,13,24,82%,0,0
Rou-23,0,5,2,0,0,0,0,0,2,10,22,65%,0,0
Rou-24,0,5,1,0,0,0,0,0,2,3,28,80%,0,0
Rou-25,0,6,2,0,0,1,0,0,3,4,14,68%,1,0
Rou-26,1,13,14,0,0,1,0,0,8,23,51,75%,2,0
Rou-27,0,8,5,0,0,1,0,0,2,3,27,69%,0,0
Rou-28,0,3,2,1,0,0,0,0,2,4,8,43%,0,0
Rou-29,0,1,1,0,0,0,0,0,0,0,14,75%,0,0
Rou-30,0,5,1,0,0,0,0,0,2,2,2,50%,0,0
Rou-31,0,2,0,0,0,0,0,0,0,0,3,100%,0,0
Rou-32,0,9,3,0,0,2,0,0,7,26,30,79%,0,0
Rou-33,0,14,1,0,0,1,0,0,6,24,24,64%,2,0
