Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Rsa-1,24,15,55,1,1,2,0,0,6,136,20,67%,2,0
Rsa-2,7,23,30,2,2,2,0,0,11,144,9,61%,6,0
Rsa-3,36,18,220,2,0,1,0,0,6,24,27,53%,1,0
Rsa-4,7,5,52,2,0,0,0,0,2,10,8,67%,0,0
Rsa-5,23,20,129,2,3,8,0,0,13,104,19,48%,2,0
Rsa-6,0,13,11,2,2,12,0,0,9,183,8,94%,3,0
Rsa-7,1,19,13,1,0,6,0,0,15,82,18,83%,2,0
Rsa-8,3,29,12,1,0,4,0,0,19,155,35,72%,2,0
Rsa-9,5,33,22,0,1,17,0,0,17,144,43,75%,2,0
Rsa-10,19,15,26,2,1,2,0,0,5,57,21,74%,1,0
Rsa-11,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Rsa-12,33,52,18,3,2,14,0,0,19,320,20,52%,2,0
Rsa-13,4,8,7,2,3,3,0,0,7,125,11,66%,1,0
Rsa-14,9,28,5,0,7,10,1,0,14,375,24,76%,2,0
Rsa-15,3,22,5,1,5,5,0,0,16,189,24,74%,3,0
Rsa-16,0,29,6,0,0,4,0,0,17,57,49,94%,2,0
Rsa-17,0,18,5,0,1,0,0,0,9,34,36,62%,3,0
Rsa-18,0,29,9,1,0,7,0,0,15,100,25,91%,0,0
Rsa-19,0,31,12,0,0,4,0,0,9,132,40,82%,1,0
Rsa-20,0,23,3,1,1,7,0,0,16,101,32,91%,1,0
Rsa-21,0,11,8,1,1,5,1,0,8,52,58,86%,2,0
Rsa-22,0,17,2,1,1,4,0,0,12,89,16,57.99999999999999%,0,0
Rsa-23,0,33,15,1,3,2,0,0,18,94,66,76%,4,0
Rsa-24,0,14,23,6,1,4,0,0,10,36,29,91%,2,0
Rsa-25,0,14,10,3,1,0,0,0,7,31,16,93%,2,0
Rsa-26,0,24,11,0,0,2,1,0,14,39,51,79%,0,0
Rsa-27,0,25,10,0,0,1,0,0,12,28,73,91%,4,0
Rsa-28,0,4,7,0,0,0,0,0,1,10,18,89%,1,0
Rsa-29,0,6,2,0,0,0,0,0,3,10,48,93%,0,0
Rsa-30,0,21,7,0,0,1,0,0,8,32,34,80%,0,0
Rsa-31,0,10,6,1,0,0,0,0,4,11,24,95%,0,0
Rsa-32,0,12,2,0,0,0,0,0,4,14,13,77%,0,0
Rsa-33,0,25,4,1,0,1,0,0,9,41,48,79%,3,0
