Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Sam-1,6,19,12,1,0,2,0,0,11,105,14,85%,1,0
Sam-2,2,7,37,2,1,3,0,0,2,22,4,50%,0,0
Sam-3,10,9,152,0,0,0,1,0,6,12,29,71%,1,0
Sam-4,0,1,9,0,0,0,1,0,1,4,1,100%,0,0
Sam-5,1,8,6,0,3,1,1,0,6,56,14,64%,1,0
Sam-6,25,17,53,0,1,1,0,0,11,52,12,64%,1,0
Sam-7,2,6,2,0,0,1,0,0,3,7,5,57.99999999999999%,2,0
Sam-8,13,14,29,1,2,1,0,0,7,54,5,36%,2,0
Sam-9,7,33,15,1,3,8,1,0,21,132,17,53%,4,0
Sam-10,11,40,24,8,1,13,1,0,17,287,13,48%,3,0
Sam-11,2,5,0,0,0,4,0,1,0,31,7,54%,1,0
Sam-12,0,4,2,1,0,2,0,0,2,6,6,43%,2,0
Sam-13,3,14,15,4,2,1,0,0,10,106,5,42%,2,0
Sam-14,2,6,4,0,0,2,0,0,3,67,8,50%,0,0
Sam-15,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Sam-16,0,15,5,0,0,3,0,0,10,41,24,57.99999999999999%,0,0
Sam-17,0,26,5,2,1,12,0,0,21,88,17,65%,0,0
Sam-18,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Sam-19,1,37,18,2,0,2,0,0,18,45,39,76%,3,0
Sam-20,0,18,14,0,0,1,0,0,7,24,31,90%,1,0
Sam-21,0,9,5,1,0,0,0,0,7,25,9,82%,0,0
Sam-22,0,2,0,0,0,0,0,0,1,14,2,67%,0,0
Sam-23,0,6,4,2,0,1,0,0,4,10,6,100%,1,0
Sam-24,0,7,10,1,0,1,0,0,6,54,7,57.99999999999999%,3,0
Sam-25,0,3,3,0,0,0,0,0,3,6,7,75%,0,0
Sam-26,1,35,32,7,1,7,0,0,15,88,33,77%,12,0
Sam-27,0,15,16,2,0,1,0,0,4,18,24,91%,1,0
Sam-28,0,3,6,0,0,0,0,0,2,3,21,76%,0,0
Sam-29,0,13,6,0,0,0,0,0,5,13,17,85%,0,0
Sam-30,0,14,4,2,0,0,0,0,8,20,28,92%,0,0
Sam-31,0,17,7,0,0,1,0,0,2,5,18,71%,0,0
Sam-32,0,7,1,0,0,0,0,0,5,15,13,88%,0,0
Sam-33,0,2,1,0,0,0,0,0,0,0,1,50%,0,0
