Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Sco-1,6,18,50,3,2,6,0,0,12,135,4,80%,1,0
Sco-2,34,38,130,5,0,5,0,0,10,143,22,74%,1,0
Sco-3,9,26,20,2,6,8,0,0,16,187,5,33%,7,0
Sco-4,1,35,25,4,3,11,1,0,21,237,4,57.99999999999999%,4,0
Sco-5,9,4,88,0,0,3,0,0,1,8,13,76%,1,0
Sco-6,1,7,59,1,0,2,0,0,5,33,11,100%,2,0
Sco-7,9,20,190,3,2,3,0,0,10,88,10,52%,1,0
Sco-8,1,20,19,6,3,11,0,0,12,80,9,65%,0,0
Sco-9,2,21,13,3,1,4,0,0,14,121,14,76%,2,0
Sco-10,0,34,25,0,0,6,0,0,13,73,22,85%,1,0
Sco-11,0,23,25,7,2,7,0,0,13,123,11,66%,0,0
Sco-12,0,19,3,1,5,7,0,0,16,197,6,80%,1,0
Sco-13,5,37,15,2,9,21,0,0,27,372,14,69%,0,0
Sco-14,1,27,12,2,4,21,0,0,17,210,9,61%,2,0
Sco-15,0,13,3,0,0,3,0,0,5,41,21,69%,0,0
Sco-16,0,20,12,2,2,6,0,0,12,71,13,90%,2,0
Sco-17,0,3,1,0,1,0,0,0,3,32,6,75%,0,0
Sco-18,0,21,11,0,2,7,0,0,7,62,28,90%,3,0
Sco-19,0,38,26,6,0,9,0,0,16,157,25,84%,2,0
Sco-20,0,12,10,0,0,1,0,0,3,14,17,53%,2,0
Sco-21,0,16,9,3,0,7,0,0,12,61,8,80%,0,0
Sco-22,0,14,12,1,1,6,0,0,5,42,39,96%,0,0
Sco-23,0,10,10,2,0,5,0,0,3,30,17,83%,0,0
Sco-24,0,14,20,0,1,0,0,0,5,37,15,97%,1,0
Sco-25,0,17,11,1,0,0,0,0,6,25,18,74%,0,0
Sco-26,0,17,17,1,0,2,0,0,10,38,21,81%,0,0
Sco-27,0,16,20,0,0,0,0,0,9,23,24,89%,1,0
Sco-28,0,7,3,0,0,2,0,0,1,16,3,75%,1,0
Sco-29,0,9,7,0,1,1,0,0,5,26,18,78%,0,0
Sco-30,0,21,8,0,0,2,0,0,8,15,16,88%,1,0
Sco-31,0,12,6,0,0,1,0,0,5,20,21,88%,1,0
Sco-32,0,6,6,0,0,0,0,0,3,10,20,90%,1,0
Sco-33,0,9,5,0,0,2,0,0,5,6,4,84%,2,0
