Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Tga-1,1,11,6,0,2,8,0,0,6,70,3,50%,2,0
Tga-2,14,26,49,3,0,4,0,0,5,101,28,66%,3,0
Tga-3,12,56,39,11,0,16,0,0,20,328,16,56.00000000000001%,2,0
Tga-4,1,3,1,1,2,2,0,0,3,52,0,0%,0,0
Tga-5,18,17,82,1,0,0,0,0,8,23,29,83%,0,0
Tga-6,6,8,116,0,0,0,0,0,5,18,17,70%,2,0
Tga-7,0,0,16,0,0,0,0,0,0,0,1,100%,0,0
Tga-8,4,26,41,1,1,2,0,0,17,68,43,76%,1,0
Tga-9,0,15,10,3,3,11,0,0,11,137,6,100%,0,0
Tga-10,1,11,11,1,0,2,0,0,6,26,20,59%,0,0
Tga-11,5,27,6,0,4,7,1,0,14,147,10,50%,3,0
Tga-12,4,7,6,2,4,1,0,0,7,44,4,72%,2,0
Tga-13,0,6,0,0,0,1,0,0,3,15,6,75%,1,0
Tga-14,3,22,3,0,5,12,0,0,16,206,16,64%,0,0
Tga-15,0,13,8,1,0,0,0,0,9,20,37,86%,0,0
Tga-16,0,0,0,0,0,0,0,0,0,0,1,100%,0,0
Tga-17,0,2,3,0,0,0,0,0,1,2,13,56.99999999999999%,1,0
Tga-18,0,19,12,4,0,1,0,0,12,56,14,73%,3,0
Tga-19,0,6,7,0,1,2,0,1,3,30,17,56.00000000000001%,2,0
Tga-20,1,21,27,0,0,3,0,0,15,47,67,96%,0,0
Tga-21,0,16,2,0,0,0,0,0,9,22,33,72%,1,0
Tga-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tga-23,0,11,10,1,0,0,0,0,6,23,18,55.00000000000001%,1,0
Tga-24,0,43,17,1,1,2,1,0,20,75,30,69%,3,0
Tga-25,0,9,10,0,0,0,0,0,4,5,19,83%,1,0
Tga-26,0,1,1,0,0,0,0,0,1,16,1,100%,0,0
Tga-27,0,12,3,1,0,0,0,0,2,3,33,85%,0,0
Tga-28,0,1,1,0,0,0,0,0,1,3,5,100%,0,0
Tga-29,0,29,9,0,1,9,0,0,16,68,30,91%,0,0
Tga-30,0,2,0,0,0,0,0,0,2,4,1,100%,0,0
Tga-31,0,2,2,0,0,0,0,0,0,0,11,85%,1,0
Tga-32,0,0,0,0,0,0,0,0,0,0,4,100%,0,0
Tga-33,0,11,11,2,0,0,0,0,2,4,30,78%,0,0
