Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Uru-1,34,30,45,1,1,5,0,0,11,194,18,82%,5,0
Uru-2,0,5,3,0,0,1,0,0,1,14,5,63%,1,0
Uru-3,17,22,144,2,1,8,0,0,13,99,28,72%,2,0
Uru-4,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Uru-5,2,6,42,0,1,0,0,0,4,19,10,70%,2,0
Uru-6,1,1,0,0,0,0,0,0,0,22,4,28.999999999999996%,0,0
Uru-7,2,31,23,0,0,1,1,0,19,84,31,70%,4,0
Uru-8,1,21,13,0,0,3,0,0,9,60,26,57.99999999999999%,1,0
Uru-9,0,14,3,2,1,8,0,0,6,43,13,76%,2,0
Uru-10,7,15,33,0,1,1,0,0,5,63,11,61%,0,0
Uru-11,1,20,11,2,5,3,0,0,14,161,25,73%,2,0
Uru-12,0,7,8,0,1,3,0,0,3,53,6,40%,0,0
Uru-13,8,25,15,1,3,14,0,0,12,135,6,61%,4,0
Uru-14,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Uru-15,0,12,1,0,2,7,0,0,5,68,7,83%,2,0
Uru-16,0,17,3,0,1,1,0,0,8,22,36,87%,2,0
Uru-17,0,4,3,0,0,0,0,0,1,3,19,88%,0,0
Uru-18,0,21,6,0,1,10,0,0,10,84,10,92%,0,0
Uru-19,0,27,9,0,0,3,0,0,14,60,19,65%,0,0
Uru-20,1,24,22,2,2,2,0,0,14,74,34,79%,1,0
Uru-21,0,7,5,0,0,1,0,0,3,14,25,94%,0,0
Uru-22,0,0,0,0,0,0,1,0,0,0,1,50%,0,0
Uru-23,0,18,7,0,0,3,0,0,14,49,32,91%,2,0
Uru-24,0,5,3,0,0,0,0,0,3,8,4,67%,1,0
Uru-25,0,7,4,0,1,0,0,0,4,28,10,54%,3,0
Uru-26,0,7,10,0,0,1,0,0,4,17,27,89%,1,0
Uru-27,0,17,15,2,0,0,0,0,4,14,32,83%,1,0
Uru-28,0,3,1,0,0,0,0,0,0,0,9,95%,0,0
Uru-29,0,20,15,0,0,1,0,0,8,11,31,78%,2,0
Uru-30,0,2,1,0,0,0,0,0,0,0,4,50%,0,0
Uru-31,0,4,2,0,0,0,0,0,3,8,12,67%,0,0
Uru-32,0,1,0,0,0,1,0,0,0,0,10,72%,0,0
Uru-33,0,4,1,0,0,1,0,0,3,9,2,50%,0,0
