Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Wal-1,17,15,39,2,0,1,0,0,4,87,26,75%,1,0
Wal-2,16,12,26,0,0,2,0,0,4,68,23,93%,3,0
Wal-3,10,13,31,2,0,1,0,0,4,32,9,72%,0,0
Wal-4,21,46,23,3,3,10,0,0,18,389,14,76%,4,0
Wal-5,2,7,5,0,0,0,0,0,2,50,2,67%,0,0
Wal-6,24,20,100,1,1,3,0,0,11,103,17,59%,4,0
Wal-7,36,21,177,2,1,2,0,0,13,107,23,75%,4,0
Wal-8,0,14,6,0,1,0,1,0,11,75,7,88%,1,0
Wal-9,0,12,5,1,1,1,0,0,6,77,7,84%,1,0
Wal-10,0,25,20,3,5,15,0,0,22,196,23,66%,1,0
Wal-11,1,40,47,5,1,6,0,0,20,123,47,78%,4,0
Wal-12,14,35,9,0,7,15,0,0,26,389,17,78%,2,0
Wal-13,2,23,11,4,1,11,0,0,14,181,14,45%,2,0
Wal-14,2,22,10,0,3,2,0,0,15,83,17,56.00000000000001%,2,0
Wal-15,0,13,3,1,0,2,0,0,7,22,30,87%,0,0
Wal-16,0,9,5,0,0,1,0,0,4,18,20,93%,0,0
Wal-17,0,31,4,1,0,2,0,0,12,54,32,94%,1,0
Wal-18,0,15,25,2,0,1,0,0,8,32,50,88%,1,0
Wal-19,3,29,26,2,2,8,0,0,17,90,61,81%,1,0
Wal-20,0,2,3,0,0,0,0,0,0,0,6,100%,0,0
Wal-21,0,8,9,2,0,0,0,0,2,3,42,81%,0,0
Wal-22,0,4,3,0,0,2,1,0,2,9,7,50%,0,0
Wal-23,0,8,5,1,1,2,0,0,7,35,16,100%,2,0
Wal-24,0,8,10,1,0,0,0,0,2,4,46,86%,2,0
Wal-25,0,10,9,1,0,1,0,0,5,13,37,70%,3,0
Wal-26,0,23,19,0,0,1,0,0,5,16,65,84%,2,0
Wal-27,0,6,1,0,0,0,0,0,3,4,19,89%,0,0
Wal-28,0,8,4,0,0,3,0,0,2,11,9,68%,0,0
Wal-29,0,12,8,1,0,1,0,0,4,10,49,79%,1,0
Wal-30,0,6,4,2,0,0,0,0,2,2,39,75%,1,0
Wal-31,0,9,4,1,0,0,1,0,5,10,14,95%,0,0
Wal-32,0,1,0,0,0,0,0,0,0,0,5,90%,0,0
