Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Fra-1,France,Antoine Hastoy,,10,26,180 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71078.png
Fra-2,France,Matthieu Jalibert,,10,25,180 Cm,81 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60484.png
Fra-3,France,Melvyn Jaminet,,15,24,181 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71755.png
Fra-4,France,Thomas Ramos,"Mazamet, France",15,28,178 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55625.png
Fra-5,France,Antoine Dupont,"Lannemazan, France",9,27,175 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55619.png
Fra-6,France,Baptiste Couilloud,"Lyon, France",9,26,176 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56996.png
Fra-7,France,Maxime Lucu,,9,30,177 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/68960.png
Fra-8,France,Gael Fickou,"La Seyne Sur Mer, France",Centre,29,190 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45702.png
Fra-9,France,Arthur Vincent,,Centre,24,183 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62420.png
Fra-10,France,Jonathan Danty,"Paris, France",Centre,31,182 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45699.png
Fra-11,France,Damian Penaud,"Brive La Gaillarde, France",Wing,27,188 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55623.png
Fra-12,France,Yoram Moefana,,Wing,23,182 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65778.png
Fra-13,France,Louis Bielle-Biarrey,"La Tronche, France",Wing,20,185 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74043.png
Fra-14,France,Gabin Villière,,Wing,27,181 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62619.png
Fra-15,France,Peato Mauvaka,"Noumea, Pacific Islands",2,26,184 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56995.png
Fra-16,France,Julien Marchand,,2,28,180 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55611.png
Fra-17,France,Pierre Bourgarit,"Auch, France",2,26,184 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57047.png
Fra-18,France,Gregory Alldritt,"Toulouse, France",8,26,191 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65538.png
Fra-19,France,Francois Cros,"Toulouse, France",Flanker,29,191 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48774.png
Fra-20,France,Sekou Macalou,,Flanker,28,194 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/52697.png
