Id_Player,Kicks From Hand,Runs,Passes,Offloads,Clean Breaks,Defenders Beaten,Yellow Cards,Red Cards,Carries,Metres Made,Tackles,Tackle Success,Handling Errors,Turnovers
Fra-1,6,8,15,0,0,1,0,0,3,27,8,80%,0,0
Fra-2,33,40,69,3,4,13,0,0,17,169,17,75%,3,0
Fra-3,9,22,9,0,3,4,0,0,9,135,4,63%,1,0
Fra-4,32,44,47,1,3,5,0,0,14,203,7,52%,2,0
Fra-5,31,44,144,10,2,11,0,0,13,113,16,89%,1,0
Fra-6,2,10,50,0,2,2,0,0,7,100,10,87%,2,0
Fra-7,13,6,75,0,1,2,0,0,5,33,10,87%,0,0
Fra-8,0,27,24,1,3,8,0,0,18,166,30,83%,1,0
Fra-9,1,12,10,0,0,0,0,0,7,40,7,88%,0,0
Fra-10,0,26,7,0,0,6,0,0,14,51,17,100%,1,0
Fra-11,8,43,23,5,13,22,0,0,31,350,19,61%,5,0
Fra-12,0,19,10,1,1,2,0,0,12,63,26,66%,1,0
Fra-13,5,22,8,0,10,7,0,0,16,212,17,81%,2,0
Fra-14,1,16,4,2,1,2,0,0,10,90,9,75%,2,0
Fra-15,1,33,23,3,5,9,0,0,25,226,32,76%,3,0
Fra-16,0,1,0,0,0,0,0,0,0,0,0,0%,1,0
Fra-17,1,14,9,1,0,0,0,0,5,24,12,77%,1,0
Fra-18,1,47,18,5,1,7,0,0,28,185,37,91%,1,0
Fra-19,0,14,4,0,0,0,0,0,4,28,47,87%,1,0
Fra-20,0,14,7,2,0,1,0,0,8,112,11,81%,1,0
Fra-21,0,7,1,0,0,0,0,0,2,10,16,86%,0,0
Fra-22,0,26,20,6,1,2,0,0,14,57,26,84%,2,0
Fra-23,0,32,17,3,2,5,0,0,19,186,47,92%,2,0
Fra-24,0,1,0,0,0,0,0,0,0,0,6,100%,0,0
Fra-25,0,20,23,2,0,2,0,0,10,34,25,86%,3,0
Fra-26,0,20,8,1,0,2,1,0,5,14,12,67%,0,0
Fra-27,0,15,14,5,1,2,0,0,8,42,39,91%,1,0
Fra-28,0,5,1,0,0,0,0,0,1,4,6,43%,0,0
Fra-29,0,1,4,1,0,0,0,0,1,2,18,84%,0,0
Fra-30,0,1,1,1,0,0,0,0,0,0,1,50%,0,0
Fra-31,0,13,3,0,0,2,0,0,9,26,8,61%,0,0
Fra-32,0,11,12,0,1,0,0,0,5,7,12,93%,1,0
Fra-33,1,16,8,0,1,9,0,0,8,37,24,82%,3,0
Nzl-1,49,50,129,5,3,21,0,0,26,352,28,64%,5,0
Nzl-2,60,72,66,2,5,13,0,0,38,494,16,44%,5,0
Nzl-3,0,49,22,4,4,15,0,0,32,324,38,69%,3,0
Nzl-4,11,59,59,2,2,14,0,0,30,178,50,79%,2,0
Nzl-5,6,25,31,3,3,7,0,0,21,190,23,67%,2,0
Nzl-6,16,40,69,5,6,19,0,0,21,294,8,50%,3,0
Nzl-7,6,5,107,0,1,1,0,0,4,24,9,92%,1,0
Nzl-8,28,18,326,0,3,9,1,0,15,112,19,83%,0,0
Nzl-9,5,19,127,0,5,17,0,0,13,118,12,69%,3,0
Nzl-10,5,12,14,1,4,5,0,0,8,87,4,75%,0,0
Nzl-11,18,54,43,6,12,8,1,0,40,494,45,77%,4,0
Nzl-12,2,18,8,0,6,4,0,0,14,160,6,92%,0,0
Nzl-13,3,45,13,5,6,20,0,0,31,309,17,62%,3,0
Nzl-14,2,56,12,3,8,40,0,0,41,392,25,74%,2,0
Nzl-15,0,31,14,1,2,5,1,0,19,78,54,93%,2,0
Nzl-16,0,30,13,3,0,6,0,0,17,43,14,73%,2,0
Nzl-17,0,8,4,0,3,2,0,0,6,26,13,93%,1,0
Nzl-18,3,82,62,9,5,27,0,0,55,297,56,78%,3,0
Nzl-19,0,4,1,1,0,0,0,0,3,14,2,67%,1,0
Nzl-20,0,14,10,0,3,3,0,0,7,75,36,74%,1,0
Nzl-21,0,16,18,2,3,1,0,0,14,95,17,88%,1,0
Nzl-22,0,42,28,3,3,7,1,0,20,78,40,74%,2,0
Nzl-23,1,29,17,0,0,2,0,1,13,51,55,88%,3,0
Nzl-24,0,18,27,1,0,3,0,0,9,25,46,93%,1,0
Nzl-25,0,32,36,1,0,1,0,0,11,31,31,66%,0,0
Nzl-26,0,39,30,1,1,7,1,0,19,71,53,61%,1,0
Nzl-27,0,18,12,0,0,2,0,0,8,42,17,77%,2,0
Nzl-28,0,21,5,0,0,0,0,0,10,19,34,77%,1,0
Nzl-29,0,14,5,0,0,0,0,0,4,11,12,78%,1,0
Nzl-30,0,13,11,0,0,1,0,0,6,13,17,85%,1,0
Nzl-31,0,19,5,0,0,0,0,1,4,15,35,69%,1,0
Nzl-32,0,12,5,0,0,3,0,0,8,23,21,87%,0,0
Nzl-33,0,11,5,0,0,3,0,0,6,24,11,65%,1,0
Ita-1,20,30,77,3,1,1,0,0,16,243,19,65%,2,0
Ita-2,0,0,0,0,0,0,0,0,0,0,0,0%,0,0
Ita-3,18,43,94,1,3,8,0,0,25,291,31,77%,0,0
Ita-4,9,35,23,2,4,12,0,0,15,275,9,43%,4,0
Ita-5,5,5,110,0,0,0,0,0,1,14,8,54%,1,0
Ita-6,1,0,58,0,0,0,0,0,0,0,3,60%,2,0
Ita-7,3,11,47,2,0,3,0,0,4,20,2,25%,1,0
Ita-8,0,8,1,1,4,7,0,0,7,125,3,83%,1,0
Ita-9,4,33,51,2,4,8,0,0,23,139,23,75%,1,0
Ita-10,0,18,15,1,1,3,0,0,14,70,20,84%,1,0
Ita-11,2,11,2,0,0,3,0,0,8,69,2,75%,0,0
Ita-12,2,7,45,1,1,2,0,0,3,23,3,70%,0,0
Ita-13,3,13,3,2,1,4,0,0,6,48,5,61%,1,0
Ita-14,3,48,38,8,5,10,0,0,27,372,10,45%,4,0
Ita-15,0,17,14,0,0,0,0,0,7,13,20,78%,1,0
Ita-16,0,10,3,0,0,0,0,0,5,9,33,85%,1,0
Ita-17,0,2,0,0,0,0,0,0,2,4,7,88%,0,0
Ita-18,0,25,5,0,1,8,0,0,19,123,48,88%,2,0
Ita-19,0,0,0,0,0,0,0,0,0,0,3,75%,0,0
Ita-20,0,3,1,0,0,0,0,0,2,6,1,50%,0,0
Ita-21,0,16,28,2,0,1,0,0,9,47,52,77%,2,0
Ita-22,0,12,6,0,1,6,0,0,7,101,15,83%,4,0
Ita-23,0,33,2,0,0,2,0,0,22,78,54,94%,3,0
