Id,Country,Image
FRA,FRANCE,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/d3ee41d3-c716-4902-9390-f5bfd12f6844/Teams-pages-index-3-.png?width=308
NZL,NEW-ZEALAND,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/085eb244-0c74-4984-873f-4c13e9dbb12e/Teams-pages-index-2-.png?width=308
ITA,ITALY,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/3763b3f9-5f23-4ac6-92de-840c9f727820/Teams-pages-index-4-.png?width=308
URU,URUGUAY,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/f65b966b-1800-42f5-b72c-a3a7ced3867b/Teams-pages-index-5-.png?width=308
NAM,NAMIBIA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/f8a432c3-b06e-4326-b017-5655538db624/Teams-pages-index-6-.png?width=308
RSA,SOUTH-AFRICA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/5f035387-724e-4ece-a7fb-ff32c27a0d81/Teams-pages-index-7-.png?width=308
IRE,IRELAND,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/f58bdf68-95aa-4329-9335-6f6f68ff1942/Teams-pages-index-8-.png?width=308
SCO,SCOTLAND,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/49024f94-0b8b-4112-9565-24b339e0927d/Teams-pages-index-9-.png?width=308
TGA,TONGA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/88a9fab3-363f-4cf3-aa59-f3d38a7324b6/Teams-pages-index-10-.png?width=308
ROU,ROMANIA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/9163259a-9493-4ff7-9097-1324896d2391/Teams-pages-index-11-.png?width=308
WAL,WALES,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/e8e3bf6a-74f4-48a9-9269-203819495024/Teams-pages-index-12-.png?width=308
AUS,AUSTRALIA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/c3a41324-1c55-4013-9df5-b933317027e9/Teams-pages-index-13-.png?width=308
FIJ,FIJI,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/a0670309-58f1-41f5-be7c-35bb118a9caf/Teams-pages-index-14-.png?width=308
GEO,GEORGIA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/e84795a8-44cc-490c-a9d9-d8b082beaa2a/Teams-pages-index-15-.png?width=308
POR,PORTUGAL,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/d1afbab2-bf4b-4faa-8d62-ad6f94b2259d/Teams-pages-index-16-.png?width=308
ENG,ENGLAND,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/e10f84ca-76d1-4534-991b-2ee74a2e54c3/Teams-pages-index-17-.png?width=308
JPN,JAPAN,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/5d57f4c7-7700-4a46-ba68-ef9e6a175a1c/Teams-pages-index-18-.png?width=308
ARG,ARGENTINA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/b941ec68-7fcc-4ae0-af5f-c8874d3e87b3/los-pumas-emblem.png?width=308
SAM,SAMOA,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/3c5d8304-94ba-4ef6-99da-17cd87857ebd/Teams-pages-index-19-.png?width=308
CHI,CHILE,https://resources.worldrugby-rims.pulselive.com/photo-resources/2023/09/09/a447b028-6907-45bf-a95e-acb30c7a3c17/Teams-pages-index-20-.png?width=308
