Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Arg-1,Argentina,Santiago Carreras,"Cordoba, Argentina",10,25,181 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60461.png
Arg-2,Argentina,Nicolas Sanchez,"San Miguel De Tucumán, Argentina",10,35, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/32114.png
Arg-3,Argentina,Martín Bogado,,15,25,191 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71714.png
Arg-4,Argentina,Juan Cruz Mallia,"Cordoba, Argentina",15,27,182 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55655.png
Arg-5,Argentina,Tomas Cubelli,"Buenos Aires, Argentina",9,34,175 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36719.png
Arg-6,Argentina,Gonzalo Bertranou,"Mendoza, Argentina",9,29,174 Cm,72 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49501.png
Arg-7,Argentina,Lautaro Bazan Velez,,9,27, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50319.png
Arg-8,Argentina,Matías Moroni,"Buenos Aires, Argentina",Centre,32,184 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43443.png
Arg-9,Argentina,Jeronimo De La Fuente,"Santa Fe, Argentina",Centre,32,183 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43433.png
Arg-10,Argentina,Santiago Chocobares,,Centre,24,189 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63147.png
Arg-11,Argentina,Lucio Cinti,,Centre,23,190 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65383.png
Arg-12,Argentina,Marcos Kremer,"Entre Ríos, Argentina",Fiveeighths,26,200 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56924.png
Arg-13,Argentina,Guido Petti Pagadizabal,"Buenos Aires, Argentina",Fiveeighths,29,193 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48633.png
Arg-14,Argentina,Pedro Rubiolo,,Fiveeighths,20,193 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71539.png
Arg-15,Argentina,Juan Imhoff,"Rosario, Argentina",Wing,35,186 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36898.png
Arg-16,Argentina,Emiliano Boffelli,"Santa Fe, Argentina",Wing,28,191 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48640.png
Arg-17,Argentina,Mateo Carreras,,Wing,23,175 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64279.png
Arg-18,Argentina,Rodrigo Isgro,,Wing,24, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66776.png
Arg-19,Argentina,Ignacio Ruiz,,2,22,187 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67351.png
Arg-20,Argentina,Julian Montoya,"Buenos Aires, Argentina",2,30,183 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48628.png
Arg-21,Argentina,Agustín Creevy,"Buenos Aires, Argentina",2,38,182 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/26186.png
Arg-22,Argentina,Facundo Isa,"Santiago Del Estero, Argentina",8,30,188 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45833.png
Arg-23,Argentina,Joaquín Oviedo,,Flanker,22,191 Cm,113 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69737.png
Arg-24,Argentina,Juan Martin Gonzalez,,Flanker,23,192 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66770.png
Arg-25,Argentina,Rodrigo Bruni,"Buenos Aires, Argentina",Flanker,30,187 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58952.png
Arg-26,Argentina,Tomas Lavanini,"Buenos Aires, Argentina",Lock,30,200 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48534.png
Arg-27,Argentina,Matias Alemanno,"Cordoba, Argentina",Lock,32,198 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39417.png
Arg-28,Argentina,Thomas Gallo,,Prop,24,176 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66763.png
Arg-29,Argentina,Joel Sclavi,,Prop,29,188 Cm,135 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71951.png
Arg-30,Argentina,Mayco Vivas,"Buenos Aires, Argentina",Prop,25,186 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60477.png
Arg-31,Argentina,Eduardo Bello,,Prop,28,190 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55669.png
Arg-32,Argentina,Francisco Gómez Kodela,,Prop,38,185 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/30635.png
