Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Aus-1,Australia,Carter Gordon,,10,22,189 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/c492f469-c69e-49d3-b916-b7f80afd5b5f.png
Aus-2,Australia,Andrew Kellaway,,15,28,181 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50211.png
Aus-3,Australia,Max Jorgensen,,15,19,184 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/a3fbed60-014b-4fc7-82e3-61eb8e720847.png
Aus-4,Australia,Nic White,"Scone, Australia",9,33,175 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36794.png
Aus-5,Australia,Tate Mcdermott,,9,25,175 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59640.png
Aus-6,Australia,Issak Fines-Leleiwasa,,9,28,172 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56065.png
Aus-7,Australia,Lalakai Foketi,,Centre,28,186 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47947.png
Aus-8,Australia,Izaia Perese,,Centre,26, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57896.png
Aus-9,Australia,Samu Kerevi,"Suva, Fiji",Centre,30,186 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45887.png
Aus-10,Australia,Ben Donaldson,,Fiveeighths,24, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66844.png
Aus-11,Australia,Mark Nawaqanitawase,"Kogarah, Australia",Wing,23,190 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66843.png
Aus-12,Australia,Jordan Petaia,"Werribee, Australia",Wing,23,191 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63173.png
Aus-13,Australia,Marika Koroibete,"Namosi, Fiji",Wing,31,182 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59442.png
Aus-14,Australia,Suli Vunivalu,,Wing,28,192 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74575.png
Aus-15,Australia,Matt Faessler,,2,24,183 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63162.png
Aus-16,Australia,David Porecki,,2,31,185 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74268.png
Aus-17,Australia,Jordan Uelese,"Wellington, Australia",2,26,189 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57899.png
Aus-18,Australia,Rob Valetini,"Clayton, Australia",8,25, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60450.png
Aus-19,Australia,Langi Gleeson,,8,22,188 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73985.png
Aus-20,Australia,Tom Hooper,,Flanker,22,199 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/b1a871c6-1dbe-46be-8798-96f4519a827e.png
Aus-21,Australia,Josh Kemeny,,Flanker,25,193 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63158.png
Aus-22,Australia,Robert Leota,,Flanker,26, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57683.png
Aus-23,Australia,Fraser Mcreight,,Flanker,24,184 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63164.png
Aus-24,Australia,Nick Frost,,Lock,24,206 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66859.png
Aus-25,Australia,Matt Philip,,Lock,29,196 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47912.png
Aus-26,Australia,Richard Arnold,,Lock,33,208 Cm,127 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/d0cb2762-41a5-46f0-aa2b-458ff8a43dfc.png
Aus-27,Australia,Will Skelton,"Auckland, New Zealand",Lock,31,203 Cm,140 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43181.png
Aus-28,Australia,Pone Fa’Amausili,,Prop,26,196 Cm,138 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69731.png
Aus-29,Australia,Taniela Tupou,"Tofoa, Tonga",Prop,27, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61868.png
Aus-30,Australia,Blake Schoupp,,Prop,25,180 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/0535e2cf-26d9-4703-a62c-198c0f601634.png
Aus-31,Australia,Zane Nonggorr,,Prop,22,187 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49f4a0a3-c025-42b7-a63c-7fdbb8405e45.png
Aus-32,Australia,James Slipper,"Southport, Australia",Prop,34,186 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36790.png
Aus-33,Australia,Angus Bell,,Prop,23, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66845.png
