Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Chi-1,Chile,Lukas Carvallo,,9,22,180 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71802.png
Chi-2,Chile,Marcelo Torrealba,,9,27,169 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58361.png
Chi-3,Chile,Nicolas Herreros,,9,33, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/35531.png
Chi-4,Chile,Matias Garafulic,,Centre,23,183 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69115.png
Chi-5,Chile,José Ignacio Larenas,,Centre,34,183 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/32191.png
Chi-6,Chile,Domingo Saavedra,,Centre,25,179 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61374.png
Chi-7,Chile,Rodrigo Fernandez,,Half Back,27,182 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60241.png
Chi-8,Chile,Francisco Urroz,,Utility Back,30,190 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45975.png
Chi-9,Chile,Benjamin Videla,,Utility Back,22,178 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72190.png
Chi-10,Chile,Inaki Ayarza,,Utility Back,24, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67088.png
Chi-11,Chile,Santiago Videla,,Utility Back,25,175 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61376.png
Chi-12,Chile,Pablo Casas,,Wing,31, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45972.png
Chi-13,Chile,Cristobal Game,"Concepción, Chile",Wing,21,193 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71068.png
Chi-14,Chile,Franco Velarde,,Wing,29, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59828.png
Chi-15,Chile,Tomas Dussaillant,,2,37, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57005.png
Chi-16,Chile,Augusto Bohme,,2,26,177 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61361.png
Chi-17,Chile,Diego Escobar,,2,23,176 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71801.png
Chi-18,Chile,Raimundo Martínez,,8,24,179 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67195.png
Chi-19,Chile,Martín Sigren,,Flanker,27,190 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62868.png
Chi-20,Chile,Alfonso Escobar,,Flanker,26,182 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61373.png
Chi-21,Chile,Thomas Orchard,,Flanker,26,193 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61369.png
Chi-22,Chile,Ignacio Silva,,Flanker,34,182 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/33687.png
Chi-23,Chile,Clemente Saavedra,,Flanker,25,191 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61367.png
Chi-24,Chile,Augusto Sarmiento,,Lock,30, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48403.png
Chi-25,Chile,Pablo Huete,,Lock,34,199 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/33685.png
Chi-26,Chile,Javier Eissmann,,Lock,26,200 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61368.png
Chi-27,Chile,Santiago Pedrero,,Lock,23,193 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69805.png
Chi-28,Chile,Salvador Lues,,Prop,24,179 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63564.png
Chi-29,Chile,Esteban Inostroza,,Prop,29,183 Cm,129 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69804.png
Chi-30,Chile,Inaki Gurruchaga,,Prop,28, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56701.png
Chi-31,Chile,Javier Carrasco,,Prop,26,178 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61360.png
Chi-32,Chile,Vittorio Lastra,,Prop,27, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59829.png
Chi-33,Chile,Matias Dittus,,Prop,30, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65547.png
