Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Eng-1,England,Alex Mitchell,,9,26,180 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59738.png
Eng-2,England,Ben Youngs,"Cawston, England",9,34,178 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34189.png
Eng-3,England,Danny Care,"Leeds, England",9,36,175 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29159.png
Eng-4,England,Jonny May,"Swindon, England",Back,33,188 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/38906.png
Eng-5,England,Owen Farrell,"Billinge, England",Back,32,188 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43573.png
Eng-6,England,Max Malins,,Back,26,181 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56794.png
Eng-7,England,Ollie Lawrence,,Back,24,180 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62562.png
Eng-8,England,Joe Marchant,,Back,27,183 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55598.png
Eng-9,England,Marcus Smith,"Makati City, Philippines",Back,24,175 Cm,83 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59924.png
Eng-10,England,Manu Tuilagi,"Apia, Samoa",Back,32,185 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/44193.png
Eng-11,England,Henry Arundell,,Back,21,183 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73172.png
Eng-12,England,Freddie Steward,"Norwich, England",Back,23,196 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/68931.png
Eng-13,England,Elliot Daly,"Croydon, England",Back,31,184 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43571.png
Eng-14,England,Sam Underhill,"Dayton, Ohio, United States",Unknown,27,186 Cm,106 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Eng-15,England,George Ford,"Oldham, England",Utility Back,30,178 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43574.png
Eng-16,England,Jack Walker,,2,27,187 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50354.png
Eng-17,England,Theo Dan,,2,22,179 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/3174b222-67cc-4754-be3c-aac3ab68633c.png
Eng-18,England,Jamie George,"Welwyn Garden City, England",2,33,183 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36524.png
Eng-19,England,David Ribbans,"Somerset West, South Africa",Forward,28,202 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69817.png
Eng-20,England,Lewis Ludlam,"Ipswich, England",Forward,28,190 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55596.png
Eng-21,England,Billy Vunipola,"Sydney, Australia",Forward,31,188 Cm,126 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46112.png
Eng-22,England,Ben Earl,,Forward,25,183 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59733.png
Eng-23,England,Tom Curry,"Hounslow, England",Forward,25,185 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59731.png
Eng-24,England,Courtney Lawes,"London, England",Forward,34,200 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34184.png
Eng-25,England,Maro Itoje,"London, England",Forward,29,195 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50344.png
Eng-26,England,Ollie Chessum,,Forward,23,201 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72931.png
Eng-27,England,George Martin,"Nottingham, England",Forward,22,198 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/68917.png
Eng-28,England,Will Stuart,,Prop,27,189 Cm,124 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56808.png
Eng-29,England,Dan Cole,"Leicester, England",Prop,36,191 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29161.png
Eng-30,England,Bevan Rodd,,Prop,23,183 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65787.png
Eng-31,England,Ellis Genge,"Bristol, England",Prop,28,187 Cm,113 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55592.png
Eng-32,England,Kyle Sinckler,"London, England",Prop,30,183 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45662.png
Eng-33,England,Joe Marler,"Eastbourne, England",Prop,33,183 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36527.png
