Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Fij-1,Fiji,Ilaisa Droasese,,15,24, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66904.png
Fij-2,Fiji,Frank Lomani,"Savusavu, Fiji",9,27,178 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57371.png
Fij-3,Fiji,Waisea Nayacalevu,"Navua, Fiji",Centre,33,195 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46441.png
Fij-4,Fiji,Simione Kuruvoli,,Half Back,24,173 Cm,74 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62276.png
Fij-5,Fiji,Peni Matawalu,,Half Back,26,175 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57767.png
Fij-6,Fiji,Emosi Tuqiri,"South Brisbane, Australia",Unknown,22, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66911.png
Fij-7,Fiji,Vilimoni Botitu,,Utility Back,25,170 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60563.png
Fij-8,Fiji,Kalaveti Ravouvou,,Utility Back,25,186 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74250.png
Fij-9,Fiji,Semi Radradra,"Taveuni, Fiji",Utility Back,31,189 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43638.png
Fij-10,Fiji,Iosefo Masi,,Utility Back,25,190 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/75016.png
Fij-11,Fiji,Teti Tela,,Utility Back,32,176 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39720.png
Fij-12,Fiji,Sireli Maqala,,Utility Back,23,167 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71746.png
Fij-13,Fiji,Josua Tuisova,"Ba, Fiji",Wing,29,171 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/53366.png
Fij-14,Fiji,Jiuta Wainiqolo,,Wing,24,187 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64561.png
Fij-15,Fiji,Vinaya Habosi,,Wing,23,184 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74251.png
Fij-16,Fiji,Selesitino Ravutaumada,,Wing,23,183 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/833bec67-7833-4139-98f1-495f4b7db5cd.png
Fij-17,Fiji,Zuriel Togiatama,,2,24,183 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72584.png
Fij-18,Fiji,Tevita Ikanivere,"Suva, Fiji",2,24,183 Cm,113 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64556.png
Fij-19,Fiji,Samuel Matavesi,"Truro, England",2,31,182 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48928.png
Fij-20,Fiji,Viliame Mata,"Suva, Fiji",8,32,196 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/53284.png
Fij-21,Fiji,Vilive Miramira,,Flanker,24,192 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66907.png
Fij-22,Fiji,Levani Botia,"Suva, Fiji",Flanker,34,178 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49570.png
Fij-23,Fiji,Lekima Tagitagivalu,,Flanker,28,190 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55240.png
Fij-24,Fiji,Meli Derenalagi,,Flanker,25,192 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60627.png
Fij-25,Fiji,Albert Tuisue,"Suva, Fiji",Lock,30,188 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62612.png
Fij-26,Fiji,Temo Mayanavanua,,Lock,26,197 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60558.png
Fij-27,Fiji,Isoa Nasilasila,,Lock,24,197 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66905.png
Fij-28,Fiji,Te Ahiwaru Cirikidaveta,,Lock,25,194 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74252.png
Fij-29,Fiji,Eroni Mawi,"Lautoka, Fiji",Prop,27,189 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55246.png
Fij-30,Fiji,Mesake Doge,,Prop,30,178 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48797.png
Fij-31,Fiji,Luke Tagi,"Suva, Fiji",Prop,26,192 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60557.png
Fij-32,Fiji,Samu Tawake,,Prop,27,183 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50652.png
Fij-33,Fiji,Peni Ravai,"Ra, Fiji",Prop,33, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49571.png
