Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Geo-1,Georgia,Tedo Abzhandadze,"Kutaisi, Georgia",10,24,174 Cm,74 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60519.png
Geo-2,Georgia,Luka Matkava,"Tbilisi, Georgia",10,22,178 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69848.png
Geo-3,Georgia,Davit Niniashvili,,15,21, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69735.png
Geo-4,Georgia,Lasha Khmaladze,"Tbilisi, Georgia",15,35,180 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29298.png
Geo-5,Georgia,Otar Lashkhi,"Tbilisi, Georgia",15,23,184 Cm,86 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Geo-6,Georgia,Tengiz Peranidze,,9,25,176 Cm,73 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63184.png
Geo-7,Georgia,Vasil Lobzhanidze,"Tbilisi, Georgia",9,27,175 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54763.png
Geo-8,Georgia,Gela Aprasidze,"Bolnisi, Georgia",9,25,175 Cm,74 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57879.png
Geo-9,Georgia,Merab Sharikadze,"Moscow, Russian Federation",Centre,30,185 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45077.png
Geo-10,Georgia,Demur Tapladze,,Centre,23,192 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63188.png
Geo-11,Georgia,Tornike Kakhoidze,,Centre,20,183 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71463.png
Geo-12,Georgia,Giorgi Kveseladze,"Tbilisi, Georgia",Centre,26,185 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62879.png
Geo-13,Georgia,Akaki Tabutsadze,,Wing,26,180 Cm,83 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62885.png
Geo-14,Georgia,Alexander Todua,"Tbilisi, Georgia",Wing,36,181 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29288.png
Geo-15,Georgia,Shalva Mamukashvili,"Tbilisi, Georgia",2,33,180 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/44012.png
Geo-16,Georgia,Vano Karkadze,"Kutaisi, Georgia",2,23,178 Cm,107 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Geo-17,Georgia,Luka Nioradze,,2,24,180 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66710.png
Geo-18,Georgia,Otari Giorgadze,"Kutaisi, Georgia",8,27,193 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55474.png
Geo-19,Georgia,Tornike Jalagonia,,8,24,188 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60516.png
Geo-20,Georgia,Beka Saginadze,"Bolnisi, Georgia",Flanker,25,192 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65802.png
Geo-21,Georgia,Luka Ivanishvili,,Flanker,22,188 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73323.png
Geo-22,Georgia,Giorgi Tsutskiridze,"Tbilisi, Georgia",Flanker,27,187 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55494.png
Geo-23,Georgia,Mikheil Gachechiladze,,Flanker,32,190 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62489.png
Geo-24,Georgia,Konstantine Mikautadze,"Sokhumi, Georgia",Lock,32,200 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/40057.png
Geo-25,Georgia,Mikheili Babunashvili,"Kutaisi, Georgia",Lock,27,195 Cm,115 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Geo-26,Georgia,Vladimer Chachanidze,,Lock,23,200 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66712.png
Geo-27,Georgia,Nodar Cheishvili,"Tbilisi, Georgia",Lock,32,200 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56060.png
Geo-28,Georgia,Mikheil Nariashvili,"Kutaisi, Georgia",Prop,33,186 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45076.png
Geo-29,Georgia,Irakli Aptsiauri,,Prop,20, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71447.png
Geo-30,Georgia,Beka Gigashvili,"Bagdati, Georgia",Prop,31,177 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65097.png
Geo-31,Georgia,Guram Papidze,,Prop,26,187 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57876.png
Geo-32,Georgia,Guram Gogichashvili,"Khashuri, Georgia",Prop,25,183 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60508.png
Geo-33,Georgia,Nika Abuladze,,Prop,28,187 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/70559.png
