Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Ire-1,Ireland,Ross Byrne,"Dublin, Ireland",10,28,191 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50482.png
Ire-2,Ireland,Johnny Sexton,"Dublin, Ireland",10,38, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/26541.png
Ire-3,Ireland,Jack Crowley,,10,23,183 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69045.png
Ire-4,Ireland,Hugo Keenan,,15,27,185 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66511.png
Ire-5,Ireland,Craig Casey,,9,24,166 Cm,76 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65664.png
Ire-6,Ireland,Conor Murray,"Limerick, Ireland",9,34,190 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36654.png
Ire-7,Ireland,Jamison Gibson-Park,,9,31,176 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47498.png
Ire-8,Ireland,Bundee Aki,"Otahuhu, New Zealand",Centre,33,178 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45276.png
Ire-9,Ireland,Garry Ringrose,"Dublin, Ireland",Centre,28,187 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50499.png
Ire-10,Ireland,Stuart Mccloskey,"Newtownards, Ireland",Centre,31,193 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50769.png
Ire-11,Ireland,Robbie Henshaw,"Galway, Ireland",Centre,30,192 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47646.png
Ire-12,Ireland,Jimmy O'Brien,,Wing,27,184 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62927.png
Ire-13,Ireland,Keith Earls,"Limerick, Ireland",Wing,36,178 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/28999.png
Ire-14,Ireland,Mack Hansen,,Wing,25,189 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63165.png
Ire-15,Ireland,James Lowe,"Nelson, New Zealand",Wing,31,187 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42642.png
Ire-16,Ireland,Ronan Kelleher,,2,25,184 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59777.png
Ire-17,Ireland,Dan Sheehan,,2,25,191 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63781.png
Ire-18,Ireland,Rob Herring,"Cape Town, South Africa",2,33,184 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49063.png
Ire-19,Ireland,Jack Conan,"Dublin, Ireland",8,31,191 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45851.png
Ire-20,Ireland,Caelan Doris,,8,25,193 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59773.png
Ire-21,Ireland,Ryan Baird,,Flanker,24,198 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65681.png
Ire-22,Ireland,Josh Van Der Flier,"Dublin, Ireland",Flanker,30,187 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45944.png
Ire-23,Ireland,Peter O'Mahony,"Cork, Ireland",Flanker,34,191 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36658.png
Ire-24,Ireland,Tadhg Beirne,"Dublin, Ireland",Lock,31,198 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45848.png
Ire-25,Ireland,Iain Henderson,"Craigavon, Northern Ireland",Lock,31,199 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43494.png
Ire-26,Ireland,Joe Mccarthy,,Lock,22,196 Cm,121 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69056.png
Ire-27,Ireland,James Ryan,"Dublin, Ireland",Lock,27,210 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56907.png
Ire-28,Ireland,Tadhg Furlong,"Wexford, Ireland",Prop,31,185 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43490.png
Ire-29,Ireland,Dave Kilcoyne,"Limerick, Ireland",Prop,34,181 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47365.png
Ire-30,Ireland,Jeremy Loughman,,Prop,28,186 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55701.png
Ire-31,Ireland,Tom O'Toole,,Prop,25,185 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62373.png
Ire-32,Ireland,Andrew Porter,"Dublin, Ireland",Prop,27,184 Cm,123 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55709.png
Ire-33,Ireland,Finlay Bealham,"Canberra, Australia",Prop,32,190 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43486.png
