Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Ita-1,Italy,Tommaso Allan,"Vicenza, Italy",10,30,184 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49561.png
Ita-2,Italy,Giacomo Da Re,,10,24,183 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65733.png
Ita-3,Italy,Paolo Garbisi,"Venezia, Italy",10,23,182 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65734.png
Ita-4,Italy,Ange Capuozzo,,15,24,177 Cm,70 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67092.png
Ita-5,Italy,Stephen Varney,"Carmarthen, Wales",9,22,178 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69015.png
Ita-6,Italy,Alessandro Garbisi,,9,21,178 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/70905.png
Ita-7,Italy,Martin Page-Relo,,9,24,178 Cm,77 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/df777094-4060-49c1-8361-65c5f2f40ebb.png
Ita-8,Italy,Paolo Odogwu,,Centre,26,183 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56799.png
Ita-9,Italy,Juan Ignacio Brex,"Buenos Aires, Argentina",Centre,31,190 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45840.png
Ita-10,Italy,Luca Morisi,"Milano, Italy",Centre,32,183 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39867.png
Ita-11,Italy,Lorenzo Pani,,Utility Back,21,188 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71407.png
Ita-12,Italy,Alessandro Fusco,,Utility Back,24,183 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62497.png
Ita-13,Italy,Pierre Bruno,,Wing,27,181 Cm,83 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56873.png
Ita-14,Italy,Montanna Ioane,"Melbourne, Australia",Wing,29,182 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69902.png
Ita-15,Italy,Hame Faiva,,2,29,183 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48053.png
Ita-16,Italy,Giacomo Nicotera,,2,27,183 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72598.png
Ita-17,Italy,Marco Manfredi,"Fribourg, Germany",2,26,183 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56883.png
Ita-18,Italy,Lorenzo Cannone,,8,22,188 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69013.png
Ita-19,Italy,Toa Halafihi,,8,30,185 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72917.png
Ita-20,Italy,Giovanni Pettinelli,,Flanker,27,193 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56888.png
Ita-21,Italy,Michele Lamaro,"Roma, Italy",Flanker,25,186 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60008.png
Ita-22,Italy,Manuel Zuliani,,Flanker,23,186 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65841.png
Ita-23,Italy,Sebastian Negri,"Marondera, Zimbabwe",Flanker,29,195 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56053.png
Ita-24,Italy,Federico Ruzza,"Padova, Italy",Lock,29,198 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50391.png
Ita-25,Italy,David Sisi,"Rinteln, Germany",Lock,30,193 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45663.png
Ita-26,Italy,Niccolo Cannone,"Florence, Italy",Lock,25,195 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60323.png
Ita-27,Italy,Dino Lamb,,Lock,25,197 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60856.png
Ita-28,Italy,Federico Zani,"Parma, Italy",Prop,34,178 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56054.png
Ita-29,Italy,Paolo Buonfiglio,,Prop,28, Cm, Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Ita-30,Italy,Simone Ferrari,"Cernusco Sul Naviglio, Italy",Prop,29,185 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48322.png
Ita-31,Italy,Ivan Nemer,,Prop,25,180 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72519.png
Ita-32,Italy,Pietro Ceccarelli,"Roma, Italy",Prop,31,184 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45573.png
Ita-33,Italy,Marco Riccioni,"Pescara, Italy",Prop,26,185 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56889.png
