Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Jpn-1,Japan,Rikiya Matsuda,"Kyoto, Japan",10,29, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46008.png
Jpn-2,Japan,Seungsin Lee,,10,22,176 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74070.png
Jpn-3,Japan,Jumpei Ogura,,15,31, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46000.png
Jpn-4,Japan,Ryohei Yamanaka,"Osaka, Japan",15,35,188 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34087.png
Jpn-5,Japan,Kotaro Matsushima,"Pretoria, South Africa",15,30,178 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50605.png
Jpn-6,Japan,Naoto Saito,,9,26,165 Cm,73 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57136.png
Jpn-7,Japan,Yutaka Nagare,"Fukuoka, Japan",9,31,166 Cm,69 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45998.png
Jpn-8,Japan,Kenta Fukuda,,9,26,173 Cm,80 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Jpn-9,Japan,Dylan Riley,,Centre,26,186 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60436.png
Jpn-10,Japan,Tomoki Osada,,Centre,24,179 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63995.png
Jpn-11,Japan,Ryoto Nakamura,"Kagoshima, Japan",Centre,32,178 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43047.png
Jpn-12,Japan,Lomano Lemeki,"Auckland, New Zealand",Wing,34,177 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/51350.png
Jpn-13,Japan,Siosaia Fifita,,Wing,24,187 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62601.png
Jpn-14,Japan,Jone Naikabula,,Wing,29,177 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60224.png
Jpn-15,Japan,Shota Horie,"Osaka, Japan",2,37, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/28439.png
Jpn-16,Japan,Kosuke Horikoshi,"Gumma, Japan",2,28,174 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49933.png
Jpn-17,Japan,Atsushi Sakate,"Kyoto, Japan",2,30,180 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45987.png
Jpn-18,Japan,Kazuki Himeno,"Aichi, Japan",8,29,187 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47916.png
Jpn-19,Japan,Pieter Labuschagne,"Pretoria, South Africa",Flanker,34,189 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49079.png
Jpn-20,Japan,Ben Gunter,,Flanker,26,195 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64886.png
Jpn-21,Japan,Michael Leitch,"Burwood, New Zealand",Flanker,35,189 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34085.png
Jpn-22,Japan,Shota Fukui,,Flanker,24,186 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61328.png
Jpn-23,Japan,Kanji Shimokawa,,Flanker,24,187 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62594.png
Jpn-24,Japan,Jack Cornelsen,,Lock,29,195 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71565.png
Jpn-25,Japan,Amato Fakatava,,Lock,29,195 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/88ba92ab-8db0-403a-8fd9-5f59e93f15bb.png
Jpn-26,Japan,Amanaki Saumaki,,Lock,26,190 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73909.png
Jpn-27,Japan,Warner Dearns,,Lock,21,202 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72580.png
Jpn-28,Japan,Sione Halasili,,Prop,24,180 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61bc38c7-a1f5-4c44-816d-6697dd93155a.png
Jpn-29,Japan,Keita Inagaki,"Nigata, Japan",Prop,33,186 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36544.png
Jpn-30,Japan,Shinnosuke Kakinaga,"Saga, Japan",Prop,31,180 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54562.png
Jpn-31,Japan,Asaeli Ai Valu,"Tofoa, Tonga",Prop,34,187 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61912.png
Jpn-32,Japan,Craig Millar,,Prop,33,185 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64884.png
Jpn-33,Japan,Jiwon Gu,"Seoul, Korea",Prop,29, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50109.png
