Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Nam-1,Namibia,Cliven Loubser,"Rehoboth, Namibia",10,26,176 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60273.png
Nam-2,Namibia,Andre Van Der Bergh,,10,25,180 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61436.png
Nam-3,Namibia,Tiaan Swanepoel,,10,27,180 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/be4c4091-11f4-4075-8e0b-33a78a1af7d5.png
Nam-4,Namibia,Divan Rossouw,"Windhoek, Namibia",15,27,187 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55314.png
Nam-5,Namibia,Jacques Theron,,9,24,179 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64594.png
Nam-6,Namibia,Oela Blaauw,,9,22,180 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73999.png
Nam-7,Namibia,Helarius Kisting,"Mariental, Namibia",9,29,175 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60270.png
Nam-8,Namibia,Damian Stevens,"Walvis Bay, Namibia",9,28,175 Cm,70 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55316.png
Nam-9,Namibia,Alcino Izaacs,,Centre,30,189 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74130.png
Nam-10,Namibia,Johan Deysel,"Windhoek, Namibia",Centre,32,184 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49604.png
Nam-11,Namibia,Danco Burger,,Centre,25,189 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72613.png
Nam-12,Namibia,Lloyd Jacobs,,Utility Back,30, Cm, Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Nam-13,Namibia,Gerswin Mouton,,Wing,23,186 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64500.png
Nam-14,Namibia,Jc Greyling,"Okahandja, Namibia",Wing,32,187 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54471.png
Nam-15,Namibia,Obert Nortje,"Windhoek, Namibia",2,26,179 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57480.png
Nam-16,Namibia,Torsten Van Jaarsveld,"Windhoek, Namibia",2,36,173 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46642.png
Nam-17,Namibia,Louis Van Der Westhuizen,"Windhoek, Namibia",2,28,178 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49605.png
Nam-18,Namibia,Adriaan Booysen,"Gobabis, Namibia",8,27,184 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67232.png
Nam-19,Namibia,Richard Hardwick,,8,29,188 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61029.png
Nam-20,Namibia,Max Katjijeko,"Windhoek, Namibia",Flanker,28,196 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55306.png
Nam-21,Namibia,Johan Retief,"Windhoek, Namibia",Flanker,28,190 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50123.png
Nam-22,Namibia,Wian Conradie,"Windhoek, Namibia",Flanker,29,185 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48338.png
Nam-23,Namibia,Prince Gaoseb,"Omaruru, Namibia",Flanker,25,186 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61426.png
Nam-24,Namibia,Tiaan De Klerk,,Lock,22,204 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/cb9ccb35-086c-4a16-9504-f538e0f2f7af.png
Nam-25,Namibia,Tjiuee Uanivi,"Otjiwarongo, Namibia",Lock,32,200 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54470.png
Nam-26,Namibia,Adriaan Ludick,"Windhoek, Namibia",Lock,25,198 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61428.png
Nam-27,Namibia,Mahepisa Tjeriko,"Windhoek, Namibia",Lock,30,195 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48352.png
Nam-28,Namibia,Pieter-Jan Van Lill,"Keetmanshoop, Namibia",Lock,40,192 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/31684.png
Nam-29,Namibia,Jason Benade,"Rehoboth, Namibia",Prop,28,188 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50117.png
Nam-30,Namibia,Casper Viviers,"Windhoek, Namibia",Prop,35,185 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/28821.png
Nam-31,Namibia,Johan Coetzee,"Windhoek, Namibia",Prop,35,186 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/33762.png
Nam-32,Namibia,Desiderius Sethie,"Walvis Bay, Namibia",Prop,31,178 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61199.png
Nam-33,Namibia,Haitembu Shikufa,,Prop,25, Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/308b0b06-2eb3-4d79-a18e-4a6068dc81e2.png
