Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Nzl-1,New-Zealand,Richie Mo'Unga,"Christchurch, New Zealand",10,29,179 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50413.png
Nzl-2,New-Zealand,Beauden Barrett,"New Plymouth, New Zealand",15,32,187 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42625.png
Nzl-3,New-Zealand,Rieko Ioane,"Auckland, New Zealand",Centre,26,189 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54731.png
Nzl-4,New-Zealand,Jordie Barrett,"New Plymouth, New Zealand",Centre,26,194 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57717.png
Nzl-5,New-Zealand,Anton Lienert-Brown,"Lincoln, New Zealand",Centre,28,187 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50409.png
Nzl-6,New-Zealand,Damian Mckenzie,,Fiveeighths,28,171 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50410.png
Nzl-7,New-Zealand,Finlay Christie,,Half Back,28,177 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61112.png
Nzl-8,New-Zealand,Aaron Smith,"Palmerston North, New Zealand",Half Back,35,171 Cm,82 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34028.png
Nzl-9,New-Zealand,Cam Roigard,"Hamilton, New Zealand",Half Back,23,183 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/75794.png
Nzl-10,New-Zealand,David Havili,,Utility Back,28,188 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50765.png
Nzl-11,New-Zealand,Will Jordan,,Wing,25,188 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60537.png
Nzl-12,New-Zealand,Caleb Clarke,,Wing,24,188 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60542.png
Nzl-13,New-Zealand,Leicester Fainga'Anuku,,Wing,24,188 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63205.png
Nzl-14,New-Zealand,Mark Tele'A,"Auckland, New Zealand",Wing,27,186 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/75620.png
Nzl-15,New-Zealand,Codie Taylor,"Levin, New Zealand",2,32,183 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42575.png
Nzl-16,New-Zealand,Samisoni Taukei'Aho,"Tongatapu, Tonga",2,26,183 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71869.png
Nzl-17,New-Zealand,Dane Coles,"Wellington, New Zealand",2,37,184 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29607.png
Nzl-18,New-Zealand,Ardie Savea,"Wellington, New Zealand",8,30,188 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47998.png
Nzl-19,New-Zealand,Ethan Blackadder,"Rangiora, New Zealand",Flanker,28, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71646.png
Nzl-20,New-Zealand,Dalton Papali'I,"Otahuhu, New Zealand",Flanker,26,191 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57734.png
Nzl-21,New-Zealand,Luke Jacobson,"Te Awamutu, New Zealand",Flanker,26,191 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57723.png
Nzl-22,New-Zealand,Shannon Frizell,"Tofoa, Tonga",Flanker,29,188 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50136.png
Nzl-23,New-Zealand,Sam Cane,"Rotorua, New Zealand",Flanker,31,189 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42605.png
Nzl-24,New-Zealand,Samuel Whitelock,"Palmerston North, New Zealand",Lock,35,202 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/32482.png
Nzl-25,New-Zealand,Brodie Retallick,"Rangiora, New Zealand",Lock,32,204 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43512.png
Nzl-26,New-Zealand,Scott Barrett,"New Plymouth, New Zealand",Lock,30,197 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48044.png
Nzl-27,New-Zealand,Tupou Vaa'I,,Lock,23,197 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66940.png
Nzl-28,New-Zealand,Tyrel Lomax,"Canberra, Australia",Prop,27,192 Cm,127 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55796.png
Nzl-29,New-Zealand,Nepo Laulala,"Faga'Alu, American Samoa",Prop,32,184 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56100.png
Nzl-30,New-Zealand,Ofa Tuungafasi,"Tofoa, Tonga",Prop,31,193 Cm,125 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43596.png
Nzl-31,New-Zealand,Ethan De Groot,,Prop,25,190 Cm,135 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71786.png
Nzl-32,New-Zealand,Fletcher Newell,,Prop,23,186 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66918.png
Nzl-33,New-Zealand,Tamaiti Williams,,Prop,23,196 Cm,144 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66931.png
