Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Por-1,Portugal,Jerónimo Portela,,10,23,192 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64409.png
Por-2,Portugal,Joris Moura,,10,23,186 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69040.png
Por-3,Portugal,Manuel Cardoso Pinto,,15,25,184 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61036.png
Por-4,Portugal,Nuno Sousa Guedes,,15,29,177 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66621.png
Por-5,Portugal,Pedro Lucas,,9,23,177 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67524.png
Por-6,Portugal,João Belo,,9,28,169 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54096.png
Por-7,Portugal,Samuel Marques,,9,35,177 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47400.png
Por-8,Portugal,Pedro Bettencourt,,Centre,29,187 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57245.png
Por-9,Portugal,José Lima,"Coimbra, Portugal",Centre,31,185 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42117.png
Por-10,Portugal,Tomás Appleton,,Centre,30,182 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48426.png
Por-11,Portugal,Raffaele Storti,"Lisbon, Portugal",Wing,22,185 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66622.png
Por-12,Portugal,Rodrigo Marta,,Wing,24,185 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64406.png
Por-13,Portugal,Vincent Pinto,,Wing,24,188 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62418.png
Por-14,Portugal,Simão Bento,,Wing,22,180 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67525.png
Por-15,Portugal,Mike Tadjer,"Massy, France",2,34,185 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45063.png
Por-16,Portugal,Duarte Diniz,,2,28,180 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55373.png
Por-17,Portugal,Lionel Campergue,,2,36,175 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39027.png
Por-18,Portugal,Thibault De Freitas,,8,31,190 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54981.png
Por-19,Portugal,João Granate,,Flanker,26,186 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61037.png
Por-20,Portugal,Rafael Simões,,Flanker,32,195 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43763.png
Por-21,Portugal,Manuel Picão,,Flanker,26,185 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59911.png
Por-22,Portugal,David Wallis,,Flanker,26,190 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/218e6c78-1250-4226-b532-dd1f02808bbd.png
Por-23,Portugal,Nicolas Martins,"Toulouse, France",Flanker,24,196 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74579.png
Por-24,Portugal,Duarte Torgal,,Lock,25,192 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61398.png
Por-25,Portugal,Martim Belo,,Lock,23,194 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67534.png
Por-26,Portugal,Steevy Cerqueira,,Lock,30,207 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73193.png
Por-27,Portugal,José Madeira,,Lock,22,195 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67530.png
Por-28,Portugal,Francisco Fernandes,,Prop,38,181 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/38928.png
Por-29,Portugal,Diogo Hasse Ferreira,,Prop,27,180 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55372.png
Por-30,Portugal,Anthony Alves,,Prop,34,185 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42116.png
Por-31,Portugal,Francisco Bruno,,Prop,28,180 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55370.png
Por-32,Portugal,António Santos,,Prop,25,186 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/75466.png
Por-33,Portugal,David Costa,,Prop,24,183 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64398.png
