Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Rou-1,Romania,Luca Nichitean,,10,24, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/fc7b47cd-0ad7-4619-acd2-356b7e30fa26.png
Rou-2,Romania,Tudor Boldor,,10,26,182 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65095.png
Rou-3,Romania,Marius Simionescu,,15,26,187 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61105.png
Rou-4,Romania,Alin Conache,,9,21,170 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72926.png
Rou-5,Romania,Florin Surugiu,"Bucharest, Romania",9,39,170 Cm,81 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34284.png
Rou-6,Romania,Gabriel Rupanu,,9,26,176 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67312.png
Rou-7,Romania,Tevita Manumua,,Centre,30,189 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48893.png
Rou-8,Romania,Mihai Graure,"Bucharest, Romania",Centre,20, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/b95c2cd8-cf18-4999-88b3-d5b45db4ccf3.png
Rou-9,Romania,Jason Tomane,,Centre,28,186 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72526.png
Rou-10,Romania,Alexandru Bucur,,Centre,29, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65207.png
Rou-11,Romania,Nicholas Onutu,,Wing,27,182 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58326.png
Rou-12,Romania,Sioeli Lama,,Wing,28,175 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72665.png
Rou-13,Romania,Fonovai Tangimana,,Wing,34,187 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59460.png
Rou-14,Romania,Taliauli Sikuea,,Wing,28,189 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55041.png
Rou-15,Romania,Florin Bardasu,,2,32,173 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39224.png
Rou-16,Romania,Ovidiu Cojocaru,,2,27,177 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61132.png
Rou-17,Romania,Robert Irimescu,,2,27,180 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/76040.png
Rou-18,Romania,Andre Gorin,,8,36,192 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65800.png
Rou-19,Romania,Damian Stratila,,8,27,189 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72525.png
Rou-20,Romania,Cristian Chirica,,8,26,192 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/59342.png
Rou-21,Romania,Florian Rosu,,Flanker,30,193 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71673.png
Rou-22,Romania,Cristi Boboc,,Flanker,28,188 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/70529.png
Rou-23,Romania,Vlad Neculau,,Flanker,25,191 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64426.png
Rou-24,Romania,Dragos Ser,,Flanker,24,187 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64431.png
Rou-25,Romania,Stefan Iancu,,Lock,25,205 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64423.png
Rou-26,Romania,Adrian Motoc,,Lock,27,197 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62212.png
Rou-27,Romania,Marius Iftimiciuc,,Lock,26,202 Cm,127 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65094.png
Rou-28,Romania,Gheorghe Gajion,,Prop,31,190 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/44815.png
Rou-29,Romania,Alexandru Gordas,"Bucharest, Romania",Prop,29,183 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56077.png
Rou-30,Romania,Costel Burtila,,Prop,32,185 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69106.png
Rou-31,Romania,Thomas Cretu,,Prop,21,190 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/73249.png
Rou-32,Romania,Alexandru Savin,,Prop,28,187 Cm,121 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65093.png
Rou-33,Romania,Iulian Hartig,,Prop,25,179 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64421.png
