Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Sam-1,Samoa,Danny Toala,,15,24,178 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66960.png
Sam-2,Samoa,Melani Matavao,"Motootua, Samoa",9,28,172 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55087.png
Sam-3,Samoa,Jonathan Taumateine,,9,27,185 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55847.png
Sam-4,Samoa,Ereatara Enari,,9,26,178 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57720.png
Sam-5,Samoa,Ulupano Junior Seuteni,"Bedford Park, Australia",Centre,30,187 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45182.png
Sam-6,Samoa,Christian Leali'Ifano,"Auckland, New Zealand",Fiveeighths,36,179 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29273.png
Sam-7,Samoa,Alai D'Angelo Leuila,"Otahuhu, New Zealand",Fiveeighths,26,175 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57392.png
Sam-8,Samoa,Lima Sopoaga,"Lower Hutt, New Zealand",Fiveeighths,32,175 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43515.png
Sam-9,Samoa,Tumua Manu,,Threequarters,30,183 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74147.png
Sam-10,Samoa,Duncan Paia'Aua,,Threequarters,28,183 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55791.png
Sam-11,Samoa,Ben Lam,,Wing,32,194 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45252.png
Sam-12,Samoa,Ed Fidow,"Motootua, Samoa",Wing,30,188 Cm,97 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57162.png
Sam-13,Samoa,Nigel Ah-Wong,,Wing,33,193 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47835.png
Sam-14,Samoa,Neria Fomai,,Wing,31,180 Cm,94 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/52181.png
Sam-15,Samoa,Ray Niuia,"Otahuhu, New Zealand",2,32,186 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65059.png
Sam-16,Samoa,Seilala Lam,"Hamilton, New Zealand",2,34,183 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49195.png
Sam-17,Samoa,Sama Malolo,,2,25,183 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60424.png
Sam-18,Samoa,Sootala Fa'Aso'O,,8,29,194 Cm,136 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50731.png
Sam-19,Samoa,Fritz Lee,,8,35,188 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45275.png
Sam-20,Samoa,Steven Luatua,,Flanker,32,195 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39688.png
Sam-21,Samoa,Sa Jordan Taufua,,Flanker,31,182 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43184.png
Sam-22,Samoa,Miracle Faiilagi,,Flanker,24,188 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69276.png
Sam-23,Samoa,Alamanda Motuga,"Apia, Samoa",Flanker,29,184 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50538.png
Sam-24,Samoa,Taleni Junior Agaese Seu,,Lock,29,202 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58699.png
Sam-25,Samoa,Sam Slade,,Lock,26,194 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60530.png
Sam-26,Samoa,Theo Mcfarland,,Lock,28,198 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71622.png
Sam-27,Samoa,Brian Alainu'U'Ese,"Invercargill, New Zealand",Lock,29,198 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49105.png
Sam-28,Samoa,Chris Vui,"Henderson, New Zealand",Lock,30,198 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48619.png
Sam-29,Samoa,Paul Alo-Emile,"Henderson, New Zealand",Prop,31,181 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39449.png
Sam-30,Samoa,James Lay,"Motootua, Samoa",Prop,29,178 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61138.png
Sam-31,Samoa,Michael Alaalatoa,"Camperdown, Australia",Prop,32,189 Cm,128 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43176.png
Sam-32,Samoa,Jordan Lay,"Motootua, Samoa",Prop,31, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45254.png
Sam-33,Samoa,Charlie Faumuina,"Auckland, New Zealand",Prop,36,184 Cm,130 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/47005.png
