Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Sco-1,Scotland,Ben Healy,,10,24,190 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65669.png
Sco-2,Scotland,Finn Russell,"Stirling, Scotland",10,31,182 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45928.png
Sco-3,Scotland,Blair Kinghorn,"Edinburgh, Scotland",15,26,190 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55642.png
Sco-4,Scotland,Ollie Smith,,15,23,188 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65717.png
Sco-5,Scotland,Ben White,,9,25,180 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62432.png
Sco-6,Scotland,George Horne,"Dundee, Scotland",9,28,174 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55641.png
Sco-7,Scotland,Ali Price,"King'S Lynn, England",9,30,177 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48670.png
Sco-8,Scotland,Cameron Redpath,,Centre,23,185 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62480.png
Sco-9,Scotland,Huw Jones,"Edinburgh, Scotland",Centre,29,186 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58569.png
Sco-10,Scotland,Sione Tuipulotu,"Carlton, Australia",Centre,26,178 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60435.png
Sco-11,Scotland,Chris Harris,"Carlisle, England",Centre,32,188 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61993.png
Sco-12,Scotland,Kyle Steyn,"Roodepoort, South Africa",Wing,29,187 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62621.png
Sco-13,Scotland,Darcy Graham,"Melrose, Scotland",Wing,26,177 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56855.png
Sco-14,Scotland,Duhan Van Der Merwe,,Wing,28,192 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50689.png
Sco-15,Scotland,George Turner,"Edinburgh, Scotland",2,31,180 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45921.png
Sco-16,Scotland,Ewan Ashman,"Toronto, Canada",2,23,186 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65702.png
Sco-17,Scotland,Johnny Matthews,"Liverpool, England",2,30, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74079.png
Sco-18,Scotland,Matt Fagerson,"Perth, Scotland",8,25,186 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64206.png
Sco-19,Scotland,Jack Dempsey,"Wahroonga, Australia",8,29,190 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48596.png
Sco-20,Scotland,Jamie Ritchie,"Dundee, Scotland",Flanker,27,190 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50434.png
Sco-21,Scotland,Hamish Watson,"Manchester, England",Flanker,32,185 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43538.png
Sco-22,Scotland,Rory Darge,,Flanker,23,185 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62457.png
Sco-23,Scotland,Luke Crosbie,,Flanker,26,196 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56847.png
Sco-24,Scotland,Sam Skinner,"Exeter, England",Lock,28,196 Cm,111 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55604.png
Sco-25,Scotland,Grant Gilchrist,"Stirling, Scotland",Lock,33,198 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36676.png
Sco-26,Scotland,Scott Cummings,"Glasgow, Scotland",Lock,27,198 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55636.png
Sco-27,Scotland,Richie Gray,"Rutherglen, Scotland",Lock,34,207 Cm,126 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/34128.png
Sco-28,Scotland,Javan Sebastian,"Carmarthen, Wales",Prop,29,177 Cm,121 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71576.png
Sco-29,Scotland,Rory Sutherland,"Melrose, Scotland",Prop,31,180 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56341.png
Sco-30,Scotland,Pierre Schoeman,,Prop,29,183 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50458.png
Sco-31,Scotland,Zander Fagerson,"Perth, Scotland",Prop,27,188 Cm,126 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50424.png
Sco-32,Scotland,Wp Nel,"Loeriesfontein, South Africa",Prop,37,180 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/37061.png
Sco-33,Scotland,Jamie Bhatti,"Stirling, Scotland",Prop,30,185 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45925.png
