Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Rsa-1,South-Africa,Manie Libbok,,10,26,182 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57850.png
Rsa-2,South-Africa,Willie Le Roux,"Strand, South Africa",15,34,186 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49080.png
Rsa-3,South-Africa,Faf De Klerk,"Mbombela, South Africa",9,32,172 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56104.png
Rsa-4,South-Africa,Jaden Hendrikse,,9,23,184 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66738.png
Rsa-5,South-Africa,Cobus Reinach,"Bloemfontein, South Africa",9,33,175 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/53956.png
Rsa-6,South-Africa,Grant Williams,,9,27,174 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71724.png
Rsa-7,South-Africa,Andre Esterhuizen,"Durban, South Africa",Centre,29,191 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50446.png
Rsa-8,South-Africa,Jesse Kriel,"Cape Town, South Africa",Centre,29,186 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/49029.png
Rsa-9,South-Africa,Damian De Allende,"Cape Town, South Africa",Centre,32,189 Cm,101 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50681.png
Rsa-10,South-Africa,Handre Pollard,"Somerset West, South Africa",Unknown,29,189 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/46392.png
Rsa-11,South-Africa,Lukhanyo Am,"East London, South Africa",Unknown,30,186 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/58707.png
Rsa-12,South-Africa,Damian Willemse,"Strand, South Africa",Utility Back,25,183 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/60620.png
Rsa-13,South-Africa,Canan Moodie,,Wing,21,190 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71486.png
Rsa-14,South-Africa,Cheslin Kolbe,"Cape Town, South Africa",Wing,30,170 Cm,74 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48565.png
Rsa-15,South-Africa,Kurt-Lee Arendse,,Wing,27,177 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/66060.png
Rsa-16,South-Africa,Deon Fourie,"Pretoria, South Africa",2,37,176 Cm,96 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/29658.png
Rsa-17,South-Africa,Mbongeni Mbonambi,"Bethlehem, South Africa",2,32,177 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43544.png
Rsa-18,South-Africa,Jasper Wiese,"Upington, South Africa",8,28,189 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71061.png
Rsa-19,South-Africa,Duane Vermeulen,"Mbombela, South Africa",8,37,193 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/37137.png
Rsa-20,South-Africa,Kwagga Smith,"Krugersdorp, South Africa",Flanker,30,181 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48550.png
Rsa-21,South-Africa,Siya Kolisi,"Port Elizabeth, South Africa",Flanker,32,186 Cm,99 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39774.png
Rsa-22,South-Africa,Marco Van Staden,"Krugersdorp, South Africa",Flanker,28,184 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64590.png
Rsa-23,South-Africa,Pieter-Steph Du Toit,"Riebeeck Kasteel, South Africa",Flanker,31,200 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45550.png
