Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Tga-1,Tonga,Patrick Pellegrini,"Randwick, Australia",10,25,170 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/83a3d68f-7b2e-464e-b70b-d6fc89ad9b6e.png
Tga-2,Tonga,William Havili,,10,25,185 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74259.png
Tga-3,Tonga,Salesi Piutau,"Auckland, New Zealand",15,32,186 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39879.png
Tga-4,Tonga,Kyren Taumoefolau,,15,20,187 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/75883.png
Tga-5,Tonga,Augustine Pulu,,9,33,180 Cm,89 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/54499.png
Tga-6,Tonga,Sonatane Takulua,"Tofoa, Tonga",9,32,180 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50727.png
Tga-7,Tonga,Manusiu Paea,,9,22, Cm, Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74258.png
Tga-8,Tonga,Pita Ahki,,Centre,31,179 Cm,98 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43604.png
Tga-9,Tonga,George Moala,,Centre,33,187 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36856.png
Tga-10,Tonga,Malakai Fekitoa,"Hihifo Hp, Tonga",Centre,31,187 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43605.png
Tga-11,Tonga,Afusipa Taumoepeau,,Utility Back,33,184 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36792.png
Tga-12,Tonga,Fine Inisi,,Utility Back,25,187 Cm,79 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65609.png
Tga-13,Tonga,Anzelo Tuitavuki,,Wing,25,187 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/74261.png
Tga-14,Tonga,Solomone Kata,,Wing,29,177 Cm,104 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/72537.png
Tga-15,Tonga,Paula Ngauamo,"Christchurch, New Zealand",2,33,185 Cm,122 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50000.png
Tga-16,Tonga,Sione Anga'Aelangi,"Sydney, Australia",2,35,180 Cm,106 Kg,https://www.pngkit.com/png/full/349-3499519_person1-placeholder-imagem-de-perfil-anonimo.png
Tga-17,Tonga,Sam Moli,,2,24,185 Cm,114 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71648.png
Tga-18,Tonga,Sione Vailanu,"Tofoa, Tonga",8,28,189 Cm,119 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55268.png
Tga-19,Tonga,Vaea Fifita,"Neiafu, Tonga",8,31,196 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/61094.png
