Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Uru-1,Uruguay,Felipe Etcheverry,"Montevideo, Uruguay",10,27,176 Cm,75 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55335.png
Uru-2,Uruguay,Rodrigo Silva,"Montevideo, Uruguay",15,31,184 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43074.png
Uru-3,Uruguay,Santiago Arata,"Montevideo, Uruguay",9,27,174 Cm,78 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62992.png
Uru-4,Uruguay,Santiago Alvarez,,9,21,183 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71506.png
Uru-5,Uruguay,Agustin Ormaechea,"Montevideo, Uruguay",9,32,176 Cm,86 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39181.png
Uru-6,Uruguay,Juan Manuel Alonso,,Centre,22,183 Cm,103 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69812.png
Uru-7,Uruguay,Andres Vilaseca,"Montevideo, Uruguay",Centre,32,196 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39179.png
Uru-8,Uruguay,Tomas Inciarte,"Montevideo, Uruguay",Centre,27,180 Cm,84 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57453.png
Uru-9,Uruguay,Felipe Arcos Perez,,Centre,23,185 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67623.png
Uru-10,Uruguay,Felipe Berchesi,"Montevideo, Uruguay",Half Back,32,178 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/39180.png
Uru-11,Uruguay,Nicolas Freitas,"Montevideo, Uruguay",Utility Back,30,179 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48443.png
Uru-12,Uruguay,Gaston Mieres,"Maldonado, Uruguay",Utility Back,34,181 Cm,80 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36604.png
Uru-13,Uruguay,Baltazar Amaya,,Utility Back,24,183 Cm,83 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/64464.png
Uru-14,Uruguay,Ignacio Facciolo,,Wing,22,188 Cm,91 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71515.png
Uru-15,Uruguay,Bautista Basso,,Wing,22,180 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69218.png
Uru-16,Uruguay,German Kessler,"Montevideo, Uruguay",2,29,184 Cm,105 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50154.png
Uru-17,Uruguay,Guillermo Pujadas,"Montevideo, Uruguay",2,26,180 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57461.png
Uru-18,Uruguay,Carlos Deus,,8,22,189 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/67762.png
Uru-19,Uruguay,Manuel Diana,"Montevideo, Uruguay",8,27,189 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55332.png
Uru-20,Uruguay,Manuel Ardao,"Montevideo, Uruguay",Flanker,25,177 Cm,92 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62623.png
Uru-21,Uruguay,Lucas Bianchi,,Flanker,22,190 Cm,107 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69810.png
