Id,Country,Name,Hometown,Position,Age,Height,Weight,Photo
Wal-1,Wales,Dan Biggar,"Swansea, Wales",10,34,188 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/33997.png
Wal-2,Wales,Sam Costelow,"Llantrisant, Wales",10,22,169 Cm,83 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65575.png
Wal-3,Wales,Gareth Anscombe,"Takapuna, New Zealand",10,32,183 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43506.png
Wal-4,Wales,Liam Williams,"Swansea, Wales",15,32,185 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43423.png
Wal-5,Wales,Leigh Halfpenny,"Swansea, Wales",15,34,178 Cm,85 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/32440.png
Wal-6,Wales,Gareth Davies,"Carmarthen, Wales",9,33,178 Cm,88 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/38914.png
Wal-7,Wales,Tomos Williams,"Treorchy, Wales",9,28,178 Cm,77 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50478.png
Wal-8,Wales,Johnny Williams,,Centre,27,189 Cm,93 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/57821.png
Wal-9,Wales,Mason Grady,"Cardiff, Wales",Centre,21,195 Cm,108 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/69222.png
Wal-10,Wales,George North,"King'S Lynn, England",Centre,31,193 Cm,109 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/42052.png
Wal-11,Wales,Nick Tompkins,,Centre,28,183 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50353.png
Wal-12,Wales,Louis Rees-Zammit,,Wing,22,191 Cm,87 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/68956.png
Wal-13,Wales,Rio Dyer,"Newport, Wales",Wing,23,187 Cm,90 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62342.png
Wal-14,Wales,Josh Adams,"Swansea, Wales",Wing,28,186 Cm,95 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/50463.png
Wal-15,Wales,Ryan Elias,"Carmarthen, Wales",2,28,188 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55677.png
Wal-16,Wales,Elliot Dee,"Newport, Wales",2,29,185 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48715.png
Wal-17,Wales,Dewi Lake,,2,24,185 Cm,110 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62334.png
Wal-18,Wales,Aaron Wainwright,"Cardiff, Wales",8,26,188 Cm,106 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/63868.png
Wal-19,Wales,Jac Morgan,,Flanker,23,180 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/65572.png
Wal-20,Wales,Dan Lydiate,"Salford, England",Flanker,35,193 Cm,115 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/36341.png
Wal-21,Wales,Tommy Reffell,,Flanker,24,183 Cm,102 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62337.png
Wal-22,Wales,Taine Basham,,Flanker,24,181 Cm,100 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/62326.png
Wal-23,Wales,Christ Tshiunza,,Forward,21,198 Cm,112 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71378.png
Wal-24,Wales,Adam Beard,"Swansea, Wales",Lock,27,203 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55680.png
Wal-25,Wales,Dafydd Jenkins,"Bridgend, Wales",Lock,21,201 Cm,117 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/71376.png
Wal-26,Wales,Will Rowlands,,Lock,32,203 Cm,123 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/68955.png
Wal-27,Wales,Dillon Lewis,"Church Village, Wales",Prop,27,183 Cm,118 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/55674.png
Wal-28,Wales,Nicky Smith,"Swansea, Wales",Prop,29,183 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/48713.png
Wal-29,Wales,Gareth Thomas,,Prop,30,188 Cm,116 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/45611.png
Wal-30,Wales,Tomas Francis,"York, England",Prop,31,185 Cm,135 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56108.png
Wal-31,Wales,Corey Domachowski,,Prop,27,183 Cm,123 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/56817.png
Wal-32,Wales,Henry Thomas,,Prop,32,85 Cm,120 Kg,https://www.rugbyworldcup.com/rwc2023/person-images-site/player-profile/43582.png
